phylum	species	file	link
acoela	HMIA1	genomes.cds	http://gofile.me/5wDJy/jvQ17vnS6
acoela	HMIA1	conversion.txt	http://gofile.me/5wDJy/5L13a2Ebs
acoela	SYRO2	genomes.cds	http://gofile.me/5wDJy/H2FZS6xzI
acoela	SYRO2	conversion.txt	http://gofile.me/5wDJy/qzDtP8R1J
mollusca	APUR1	genomes.cds	http://gofile.me/5wDJy/3m7zugM04
mollusca	DROS1	conversion.txt	http://gofile.me/5wDJy/F7R7Nc8XG
mollusca	PCAN2	genomes.cds	http://gofile.me/5wDJy/p1A8MHkSn
mollusca	LGIG1	genomes.cds	http://gofile.me/5wDJy/MIilOgIOF
mollusca	MCOR2	conversion.txt	http://gofile.me/5wDJy/rCPduQEga
mollusca	MHON1	genomes.cds	http://gofile.me/5wDJy/ZgsUXDnNv
mollusca	LSTA1	genomes.cds	http://gofile.me/5wDJy/l4kH0noK7
mollusca	BPLA1	conversion.txt	http://gofile.me/5wDJy/x7PfMIhDa
mollusca	MACO1	genomes.cds	http://gofile.me/5wDJy/1CYuzjZl4
mollusca	CRVI2	conversion.txt	http://gofile.me/5wDJy/ABP1JlnLU
mollusca	PMAC2	conversion.txt	http://gofile.me/5wDJy/iO3UMKRFk
mollusca	CGIG2	genomes.cds	http://gofile.me/5wDJy/aryBVWNiZ
mollusca	MMAR2	genomes.cds	http://gofile.me/5wDJy/kQcxqFex1
mollusca	GAEG2	conversion.txt	http://gofile.me/5wDJy/yRB0SwPZQ
mollusca	MMAR2	conversion.txt	http://gofile.me/5wDJy/1e8dSCVnv
mollusca	OEDU1	genomes.cds	http://gofile.me/5wDJy/EAAxQuLxO
mollusca	BGLA2	genomes.cds	http://gofile.me/5wDJy/D5SkuNON2
mollusca	PMAX1	conversion.txt	http://gofile.me/5wDJy/vJYfPW7Hs
mollusca	ADUX1	conversion.txt	http://gofile.me/5wDJy/9SBSBiTRR
mollusca	ARVU2	genomes.cds	http://gofile.me/5wDJy/Mqo1wYc3V
mollusca	CUNI3	genomes.cds	http://gofile.me/5wDJy/kxQ0rDBKe
mollusca	LNYA2	conversion.txt	http://gofile.me/5wDJy/N3FahoppZ
mollusca	CSQU2	conversion.txt	http://gofile.me/5wDJy/wTo1mvonO
mollusca	SGLO1	genomes.cds	http://gofile.me/5wDJy/m7xlYYJbx
mollusca	AIMM1	genomes.cds	http://gofile.me/5wDJy/Tn9C9JwDt
mollusca	CRVI2	genomes.cds	http://gofile.me/5wDJy/qIBkoqOe0
mollusca	MACO1	conversion.txt	http://gofile.me/5wDJy/setzchxzc
mollusca	OSIN2	conversion.txt	http://gofile.me/5wDJy/6JwTXQLHq
mollusca	CSQU2	genomes.cds	http://gofile.me/5wDJy/VeY6CVJlK
mollusca	ECHL1	genomes.cds	http://gofile.me/5wDJy/nhCIZGClS
mollusca	DROS1	genomes.cds	http://gofile.me/5wDJy/vRRUTwghO
mollusca	SBRO1	genomes.cds	http://gofile.me/5wDJy/LiZ5m7muA
mollusca	LSTA1	conversion.txt	http://gofile.me/5wDJy/5YMM2MEum
mollusca	MCOR2	genomes.cds	http://gofile.me/5wDJy/6NSKOhbRl
mollusca	CUNI3	conversion.txt	http://gofile.me/5wDJy/45npOxnFv
mollusca	LGIG1	conversion.txt	http://gofile.me/5wDJy/xNnJDFmdt
mollusca	PMAC2	genomes.cds	http://gofile.me/5wDJy/xVHYR2NYl
mollusca	SBRO1	conversion.txt	http://gofile.me/5wDJy/lzrJMR2cC
mollusca	CGIG2	conversion.txt	http://gofile.me/5wDJy/gmUZNXj96
