Procyon lotor
Alima pacifica
Isopsetta isolepis
Pergavor aspricaudus
Sebastes flavidus
Samia cynthia ricini
Syngnathus leptorhynchus
Gonostoma bathyphilium
Chromis hanui
Spermophilus lateralis
Asprocottus intermediius
Tenthredo campestris
Hippocampus barbouri
Bassozetus compresis
Amphilophus longimanus
Bombus hypnorum
Nomada alboguttata
Nemichthys scolopaceus
Papilo bianor
Acipenser fulvescens
Callistoctopus dierythraeus
Alouatta sp.
Zoramia  Leptacanthus
Mysis salemaai
Didelphis virginiana
Diaphus holti
Arichanna gaschkevitchii
Octopus tetricus
Gonostoma atlanticum
Meganyctiphanes norvegica
Nothoprocta cinerascens
Callinectes ornatus
Loligo pealii
Abramis brama
Blepsias cirrhosus
Polistes dominulus
Centrophorus squamosus
Aeshna tuberculifera
Opisthocentrus ocellatus
Cataglyphis bombycinus
Marosatherina ladigesi
Eurypanopeus depressus
Sergestes arcticus
Oplophorus spinosus
Lutjanus adetii
Danio aequipinnatus
Tarentola chazaliae
Pseudopleuronectes herzensteini
Cebus sp.
Artedius harringtoni
Saguinus midas
Acipenser medirostris
Gymnocanthus pistilliger
Systellaspis debilis
Antimora rostrata
Vespo crabro
Haplochromis azurea
Palaemonetes paladosus
Hyperoplus lanceolatus
Acanthephyra smithi
Eucyclogobius newberryi
Melanotaenia maccullochi
Gecarcinus lateralis
Abudefduf abdominalis
Lampetra fluviatilis
Diaphus rafinesquei
Rhithropanopeus harrisii
Oplophorus sp.
Papilio aegeus
Ptilorhynchus violaceus
Kali macrodon
Sepia plangon
Anolis extremus
Struthioniformes Dromiceius novae-hollandiae
Notostomus gibbosus
Merluccius productus
Notostomus elegans
Metriaclima benetos
Sardinops melanostictus
Anolis grahami
Isodon obesulus
Trachurus mediterraneus
Mirounga angustirostri
Sarda chiliensis
Meningodora miccyla
Rhinoptera bonasus
Cataetyx laticeps
Spicara smaris
Galliformes Pavo cristatus
Benthosema suborbitale
Caprimulgiformes Phalaenoptilus nuttallii
Bodianus bilunulatus
Sergestes corniculum
Embiotoca lateralis
Salvelinus alpinus
Ameiurus melas
Passeriformes Molothrus ater
Lampanyctus alatus
Cymatogaster aggregata
Blicca bjoerkna
Chamaeleo dilepis
Calappa flammea
Liparis greeni
Gobiesox maecmdricus
Dolichovespula norwegica
Myoxocephalus quadricornis
Enophrys bison
Galliformes Gallus gallus domesticus
Neomysis integer
Chiasmodon niger
Merluccius merluccius
Carcinus maenas
Sphyraena barracuda
Cercopithecus diana
Paracottus knerii
Sphyrna tiburo
Stegastes fasciolatus
Anolis stratulus
Leiothrix lutea
Vinciguerria nimbaria
Leontopithecus rosalia rosalia
Squalus suckleyi
Argyropelecus aculeatus
Neonesthes capensis
Cyttopsis roseus
Lonchura maja
Squilla empusa
Chauliodus sloani
Hippocampus subelongatus
Conocara macroptera
Sphodromantis sp.
Chlorocebus aethiops
Dendrochirus zebra
Istiophorus  platypterus
Leocottus kesslerii
Plesiopenaeus armatus
Boa constrictor
