Procyon lotor
Alima pacifica
Bicyclus anynana
Isopsetta isolepis
Pergavor aspricaudus
Sebastes flavidus
Samia cynthia ricini
Spermophilus lateralis
Tenthredo campestris
Hippocampus barbouri
Nemichthys scolopaceus
Acipenser fulvescens
Callistoctopus dierythraeus
Alouatta sp.
Tarsipes rostratus
Mysis salemaai
Diaphus holti
Hypsiglena torquata
Gonostoma atlanticum
Callinectes ornatus
Abramis brama
Centrophorus squamosus
Opisthocentrus ocellatus
Cataglyphis bombycinus
Marosatherina ladigesi
Nerophis ophidion
Oplophorus spinosus
Pseudopleuronectes herzensteini
Cebus sp.
Artedius harringtoni
Saguinus midas
Acipenser medirostris
Systellaspis debilis
Antimora rostrata
Palaemonetes paladosus
Eucyclogobius newberryi
Dissostichus mawsoni
Diaphus rafinesquei
Rhithropanopeus harrisii
Oplophorus sp.
Papilio aegeus
Ptilorhynchus violaceus
Kali macrodon
Notostomus gibbosus
Sardinops melanostictus
Isodon obesulus
Trachurus mediterraneus
Mirounga angustirostri
Sarda chiliensis
Meningodora miccyla
Rhinoptera bonasus
Poecilia reticulata cumana
Galliformes Pavo cristatus
Benthosema suborbitale
Caprimulgiformes Phalaenoptilus nuttallii
Homo sapiens
Embiotoca lateralis
Salvelinus alpinus
Lampanyctus alatus
Cymatogaster aggregata
Photinus marginellus
Chamaeleo dilepis
Callithrix jacchus jacchus
Liparis greeni
Felis catus
Myripristis violacea
Dolichovespula norwegica
Myoxocephalus quadricornis
Enophrys bison
Chiasmodon niger
Sphyraena barracuda
Cercopithecus diana
Sphyrna tiburo
Leontopithecus rosalia rosalia
Squalus suckleyi
Argyropelecus aculeatus
Neonesthes capensis
Cyttopsis roseus
Lonchura maja
Chauliodus sloani
Manduca sexta
Hemigrapsus sanguineus
Melanochromis  vermivorus
Dendrochirus zebra
Plesiopenaeus armatus
Boa constrictor
Trematomus bernacchii
Hippocampus angustus
Lumpenus sagitta
Colias erate
Strophidon sathete
Hydrolagus colliei
Libinia emarginata
Phidippus regius
Thysanopoda acutifrons
Pleurodeles waltl
Gonostoma bathyphilum
Pleuronectes obscurus
Batrachocottus baicalensis
Heliconius melpomene
Bombus terrestris
Coturnix coturnix
Pandalus montagui
Hippoglossoides herzensteini
Polygonia c-album
Bombus lapidarius
Chelostoma florisomne
Bombus fervidus
Portunus spinimanis
Damalichthys vacca
Strigiformes Speotyto cunicularia
Poecilia mexicana
Sergia splendens
Struthio camelus
Gennadas sp.
Symphodus melops
Leptograspus variegatus
Paromola cuvieri
Epigonus  telescopus
Psettichthys melanostictus
Carcharhinus limbatus
Anolis lineatopus
Ichneumon stramentarius
Bellocia  koefoedi
Stylephorus chordatus
Astacus leptodactylus
Myoxocephalus jack
