Lutjanus russellii
Hipposideros speoris
Pseudotropheus  acei
Pasiphaea emarginata
Kali macrodon
Stomias boa
Nectamia  Savayensis
Pseudopleuronectes herzensteini
Epigonus  telescopus
Lasioglossum malachurum
Turdus merula
Conocara macroptera
Podothecus acipenserinus
Apodemia spp.
Ophiodon elongatus
Forcipiger flavissimus
Melipona quadrifasciata
Aulorhynchus flavidus
Pervagor spilosoma
Acanthephyra smithi
Estrilda troglodytes
Photostomias braueri
Geryon quinquedens
Benthalbella infans
Chaceon affinis
Mirounga angustirostri
Echinomacrurus mollis
Microcottus sellaris
Antheraea polyphemus
Haematopota sp.
Funchalia villosa
Anoplarchus purpurescens
Hapalochlaena maculosa
Mulloidichthys flavolineatus
Ictalurus catus
Scirtothrips dorsalis
Schwarziana sp.
Lampanyctus crocodilus
Photonectes braueri
Papilo bianor
Sympetrum sp.
Pundamilia red head
Acanthropagrus berda
Nematoscelis megalops
Anolis evermanni
Pipilo fuscus
Aptychotrema rostrata
Deania calcea
