Mullus barbatus
Alepocephalus bairdii
Eurypanopeus depressus
Carcharhinus amblyrhynchos
Rana catesbeiana larvae
Lysiosquillina maculate
Sergia grandis
Spermophilus beecheyi
Oligocottus maculosus
Glossina moritans moritans
Potos flavus
Nomada albogutata
Argyropelecus aculeatus
Coturnix  japonica
Setonix brachyurus
Bathophilus brevis
Daubentonia madagascariensis
Pleurodeles waltl
Xiphister  atropurpureus
Acanthopagrus butcheri
Panorpa communis
Papio papio
Carcharhinus acronotus
Thysanoessa raschii
Delia radicum
Procambarus clarkii
Chauliodus sloani
Atrophaneura alcinous
Melanochromis vermivorus
Lutjanus carponotatus
Gymnothorax favagineus
Sigmops elongatus
Limnocottus griseus
Oryctolagus cuniculus
Engaeus cunicularius
Ampelophaga rubiginosa
Tarsius syrichta
Octodon degus
Phoca vitulina
Colletes fulgidus
Ovipales stephensoni
Lampanyctus crocodilus
Sergestes curvatus
Agonopsis vulsa
Lethrus apterus
Todarodes pacificus
Trachurus mediterraneus
Glaucomys sabrinus
Gonodactylellus affinis
Rynchophorus ferrugineus
Pseudopleuronectes obscurus
Pomacentrus melanochir
Fundulus heteroclitus
Photuris frontalis
Acanthurus triostegus
Pieris brassicae
Cephalopachus bancanus
Sergia phorcus
Euphydryas chalcedona
Anolis grahami
Cottunculus thomsonii
Abyssocottus korotneffi
Sargocentron punctatissimum
Coryphaenoides armatus
Pasiphaea chacei
Coryphaenoides guntheri
Ophiodon elongatus
Mustela putorius furo
Margrethia obtusirostra
Notoscopelus resplendens
Cicindela chinensis
Melopsittacus undalatus
Heliconius numata
Sepia officinalis
Bombus affinis
Tyto alba
Acanthephyra purpurea
Zanclus cornutus
Asterocampa celtis
Sebastes maliger
Cerceris rybyensis
Ichthyophis kohtaoensis
Ruscarius meanyi
Aristostomias tittmani
Oncorhynchus tshawytscha
Alima pacifica
Opisthocentrus ocellatus
Cyphocottus eurystomus
Gaidropsarus mediterraneus
Ceratoscopelus warmingii
Teratoscincus scincus
Rimicaris exoculata
Microgadus proximus
Mysis relicta
Cottus sp.
Jasus edwardsii
Hydrolagus colliei
Neoniphon aurolineatus
Lonchura maga
Pithecia pithecia
Phalacrocorax carbo
Syngnathus leptorhynchus
Pavo  cristatus
Antimora  rostrata
Carcharhinus amboinensis
Arizona elegans
Chelidonichthys lucerna
Bombus terrestris
Gonostoma denudatum
Scopelogadus beanii
Zoarces viviparus
Megalocottus platycephalus
Mirza coquereli
Myoxocephalus jack
Rhinobatos lentiginosus
Dicrolene intronigra
Archaeopropona demophon
Icelinus borealis
Anguilla Anguilla
Cambarellus ludovicianus
Helicoverpa armigera
Lycaena rubidus
Rhinatrema bivittatum
Stichaeopsis nana
Diaphus lucidus
Balanus amphitrite
Callithrix jacchus jacchus
Cancer irroratus
Aulorhynchus flavidus
Lampadena speculigera
Corvus  frugilegus
Dolichovespula norwegica
Gobiesox maeandricus
Rana pipiens
Danio rerio
Cyrtopodion kotschyi
Leontopithecus rosalia rosalia
Saguinus fuscicollis
Opisthoproctus grimaldii
Atherina boyeri
Gryllus bimaculatus adult
Dasyatis fluviorum
Esox lucius
Zaniolepis frenata
Necturus maculosus
Caprimulgus europaeus
Oplophorus spinosus
Dissostichus mawsoni
Conger conger
Trematomus hansoni
Ailuroedus crassirostris
Bassozetus compresis
Phoca groenlandicus
Gallus  gallus domesticus
Danio malabaricus
Carassius auratus
Merluccius merluccius
Ichneumon sp.
Triglops pingelii
Pandalus borealis
Balanus eburneus
Systellaspis debilis
Apodemia mormo
Halargyreus johnsonii
Spicara smaris
Myoxocephalus stelleri
Ammodytes hexapterus
Triakis semifasciata
Leptinotarsa decemlineata
Bathylagus euryops
Thomomys bottae
Sephanoides sephanoides
Cambarellus schufeldtii
Xenos peckii
Acipenser fulvescens
Pergavor spilosoma
Micropoecilia parae
Hemitripterus villosus
Chimaera monstrosa
Oncorhynchus keta
Sargocentron diadema
Ptychozoon lionotum
