Aphanopus  carbo
Palaemonetes vulgaris
Lampadena speculigera
Orconectes rusticus
Notonecta insulata
Rouleina maderensis
Calypteryx splendens and virgo
Ligia exotica
Pavo cristatus
Ammodytes hexapterus
Lasioglossum malachurum
Atherinops affinis
Liparis greeni
Centroswcymnus coleolepis
Bombus jonellus
Perca  flavescens
Didelphis virginiana
Lutjanus johnii
Zoarces viviparus
Nautichthys oculofasciatus
Fulgeochlizus bruchii
Pseudozizeeria maha
Clibanarius vittatus
Lepidion  eques
Acipenser medirostrus
Comephorus baicalensis
Bathylagus bericoides
Acanthurus achilles
Heteromysis formosa
Argyropelecus aculeatus
Libinia dubia
Apogon kallopterus
Procambarus milleri
Astacus fluviatus
Apodemia spp.
Chlamydera nuchalis
Chlorops sp.
Pholidapus dybowsky
Potos flavus
Pteropus samoensis
Archaeoprepona demophon
Acanthephyra purpurea
Cottocomephorus grewingkii
Liparis florae
Lysiosquillina maculate
Euphausia pacifica
Rangifer tarandus
Rouleina aderensis
Hydrolagus colliei
Phronima sedenteria
Pleurogrammus  azonus
Pavo  cristatus
Stichaeus grigorjewi
Nephrops norvegicus
Caelorhinchus labiatus
Typhlops hypomethes
Istiophorus  platypterus
Bathysaurus mollis
Ruscarius meanyi
Nemichthys scolopaceus
Bombus hortorum
Xylocopa brasilianorum
Sergia phorcus
Halargyreus johnsonii
Crotaphytus dickersonae
Aeschna cyanea
Panorpa cognata
Panopeus herbtii
Bubo virginianus
Mysis mixta
Libinia emarginata
Peprilus simillimus
Makaira nigricans
Cottunculus thomsonii
Rhamphocottus richardsonii
Phytichthys  chirus
Chlamydera maculata
Anas playrhnchos domesticus
Lonchura maga
Bassozetus compressus
Batrachocottus multiradiatus
Diaphus dumerilli
Hemidactylus garnotii
Limnocottus bergianus
Lumpenus sagitta
Ambystoma tigrinum aquatic
Plocepasser mahali
Notonecta undulata
Systellaspis braueri
Ernogrammus hexagrammus
Hypomesus pretiosus
Furcifer pardalis
Coryphaenoides armatus
Metriaclima livingstonii
Ichthyophis kohtaoensis
Melipona marginata
Bathysaurus ferox
Melanostomias niger
Conocara macroptera
Bombyx mandarina
Hemitripterus americanus
Ophiodon elongatus
Parnara guttata
Parapasiphaea sulcatifrons
Funchalia villosa
Accipiter nisus
Pagurus annulipes
Leuroglosus stilbius
Bassozetus compresis
Papilio achaon
Osmerus dentex
Cicindela specularis
Bombus dahlbomii
Myoxocephalus potyacanthocephalus
Limnocottus pallidus
Ameiurus catus
Scirtothrips dorsalis
Acipenser fulvescens
Anolis grahami
Nothoprocta perdicaria sanborni
Acanthropagrus berda
Chelidonichthys lucerna
Triglops pingelii
Acanthephyra microphthalma
Poecilia reticulata cumana
Triakis semifasciata
Panulirus argus
Colletes fulgidus
Engaeus cunicularius
Protomelas taeniolatus
Talitrus saltator
Rana cancrivora
Trygonoptera testacea
Octopus australis
Mullus barbatus
Chloebia gouldiae
Sergia grandis
Rimicaris exoculata
Pagurus longicarpus
Geryon quinquedens
Cambarellus shufeldtii
Asprocottus intermediius
Gryllus campestris
Arctia plantaginis
Gobius paganellus
Saimiri sciureus
Ctenomys magellanicus
Pithecia pithecia
Pseudosquilla ciliata
Haptosquilla trispinosa
Pieris melete
Sephanoides sephanoides
Arothron meleagris
Mysis relicta sp.I
Arachnocampa luminosa
Menemerus confusus
Dineutus ciliatus
Chauliognathus pulchellus
Apodichthys flavidus
Myrmecia gulosa
Synodus variegatus
Hemitripterus villosus
Cynops orientalis
Teratoscincus scincus
Pullosquilla thomassini
Chirostomias pliopterus
Sigmops elongatus
Xenodermichthys copei
Oxaea flavescens
Condylostylus japonicus
Nematobrachion boopis
Callinectes ornatus
Petrolisthes diogenes
Marumba sperchius
Bombus terrestris terrestris
Sergia splendens
Crangon allmani
Anas  platyrhynchos
Zebrasoma veliferum
Notacanthus bonapartei
Alosa kessleri
Eurypanopeus depressus
Agonopsis vulsa
Chaetodon kleini
Panorpa communis
Meleagris  galoparvo
Cyrtopodion caspium
Lampanyctus regalis
Carcharhinus amboinensis
Plagiotremus rhinorhynchos
Bellocia  koefoedi
Colinus virginianus
Aptychotrema rostrata
Zonotrichia leucophrys
Romalea microptera
Stegastes fasciolatus
Borostomias elucens
Alepocephalus bairdii
Aulorhynchus flavidus
Canthidermis maculata
Luicola cruciata
Stichaeopsis nana
Poromitra capito
Lonchura malacca
Psychrolutes paradoxus
Nematoscelis megalops
Cerceris rybynensis
Ptilorhynchus violaceus
Bothragonus  swani
Bathylagus greyae
Pasiphaea emarginata
Etroplus suratensis
Sargocentron xantherythrum
Antherea polyphemus
Oplophorus sp.
Metynnis argenteus
Lutjanus russellii
Mesocricetus brandti
Derichthys serpentinus
Cataetyx laticeps
Papilio maackii
Lampanyctus festivus
Bythograea thermydron
Galago crassicauda
