Aphanopus  carbo
Anguilla japonica
Lampadena speculigera
Sepioteuthis lessoniana
Calypteryx splendens and virgo
Ligia exotica
Lasioglossum malachurum
Atherinops affinis
Pieris brassicae
Bombus jonellus
Perca  flavescens
Didelphis virginiana
Lutjanus johnii
Fulgeochlizus bruchii
Geotria australis
Pseudozizeeria maha
Lycaena nivalis
Acipenser medirostrus
Taeniopygia guttata
Comephorus baicalensis
Bathylagus bericoides
Heteromysis formosa
Fundulus heteroclitus
Argyropelecus aculeatus
Libinia dubia
Procambarus milleri
Apodemia spp.
Scomber japonicus
Pholidapus dybowsky
Pteropus samoensis
Archaeoprepona demophon
Acanthephyra purpurea
Cottocomephorus grewingkii
Liparis florae
Lysiosquillina maculate
Hydrolagus colliei
Pavo  cristatus
Maylandia zebra
Bathysaurus mollis
Istiophorus  platypterus
Ruscarius meanyi
Procambarus clarkii
Nemichthys scolopaceus
Euroleon nostras
Xylocopa brasilianorum
Eucyclogobius newberryi
Halargyreus johnsonii
Aeschna cyanea
Dugesia japonica
Esox lucius
Peprilus simillimus
Balanus amphitrite
Libinia emarginata
Cottunculus thomsonii
Phytichthys  chirus
Geotrypetes seraphini
Hemidactylus garnotii
Limnocottus bergianus
Pagothenia borchgrevinki
Lumpenus sagitta
Carlito syrichta
Systellaspis braueri
Ernogrammus hexagrammus
Hypomesus pretiosus
Didelphis aurita
Coryphaenoides armatus
Pseudopleuronectes obscurus
Bathysaurus ferox
Melanostomias niger
Helicoverpa armigera
Hemitripterus americanus
Ophiodon elongatus
Parnara guttata
Parapasiphaea sulcatifrons
Funchalia villosa
Accipiter nisus
Leuroglosus stilbius
Papilio achaon
Cicindela specularis
Bombus dahlbomii
Myoxocephalus potyacanthocephalus
Spermophilus tridecemlineatus
Rana catesbeiana
Ameiurus catus
Rhinatrema bivittatum
Acipenser fulvescens
Graphium sarpedon
Anolis grahami
Nothoprocta perdicaria sanborni
Puntigrus tetrazona
Chelidonichthys lucerna
Isopsetta isolepis
Cottus kessleri
Acanthephyra microphthalma
Tarsius syrichta
Panulirus argus
Engaeus cunicularius
Symphodus melops
Rana cancrivora
Trygonoptera testacea
Aulonocara hueseri
Myoxocephalus scorpius
Chloebia gouldiae
Sergia grandis
Geryon quinquedens
Trichoplusia ni
Cambarellus shufeldtii
Nymphalis antiopa
Asprocottus intermediius
Gryllus campestris
Arctia plantaginis
Polistes dominulus
Propithecus verreauxi coquereli
Arothron meleagris
Pollachius pollachius
Mysis relicta sp.I
Arachnocampa luminosa
Menemerus confusus
Dineutus ciliatus
Chauliognathus pulchellus
Myrmecia gulosa
Synodus variegatus
Teratoscincus scincus
Pullosquilla thomassini
Chirostomias pliopterus
Sigmops elongatus
Xenodermichthys copei
Clupea harengus
Callinectes sapidus
Callinectes ornatus
Petrolisthes diogenes
Ostorhinchus Cookii
Sergia splendens
Gallus gallus
Arizona elegans
Notacanthus bonapartei
Eurypanopeus depressus
Bombus impatiens
Cyrtopodion caspium
Lampanyctus regalis
Carcharhinus amboinensis
Scopelarchus analis
Cottocomephorus inermis
Colinus virginianus
Aptychotrema rostrata
Zonotrichia leucophrys
Galago senegalensis
Belone belone
Romalea microptera
Stegastes fasciolatus
Borostomias elucens
Gobius niger
Ictalurus punctatus
Alepocephalus bairdii
Luicola cruciata
Anolis carolinensis
Aequidens pulcher
Globicephala melas
Lonchura malacca
Engraulis japonicus
Cimex lectularius
Ostrinia nubilalis
Pasiphaea emarginata
Protaetia brevitarsis
Sargocentron xantherythrum
Antherea polyphemus
Metynnis argenteus
Lutjanus russellii
Heliconius melpomene
Derichthys serpentinus
Cataetyx laticeps
Papilio maackii
Lampanyctus festivus
Periplaneta americana
Galago crassicauda
Caretta caretta
Howella sherborni
Malacosteus niger
Metriaclima emmiltos
Asteropteryx semipunctatus
Pyrearinus termitilluminans
Heliconius sara
Stenobrachius leucopsarus
Microstomus kitt
Lycodes pacificus
Bothragonus swani
Glaucomys sabrinus
Bombus hypnorum
Anolis krugi
Ichneumon stramentrius
Mysis relicta sp.II
Bolinichthys indicus
Canthidermis maculatus
Argynnis ruslana
Hydrolagus mirabilis
Larus atricilla
Conger conger
Plesiopenaeus armatus
Holtbyrnia spinithara
Rynchophorus ferrugineus
Pasiphaea chacei
Solenopsis saevissima
Gonostoma bathyphilum
Rhagoph-thalmus ohbai
Sergestes curvatus
Hemigrapsus sanguineus
Trematomus bernacchii
Rhinobatus typus
Serinus canaria
Acanthurus nigroris
Nematobrachion sexpinosum
Balanus balanoides
Lutjanus fulviflamma
Neomysis mercedis
Mysis salemaai
Chauliodus macouni
Macroglossum stellatarum
Hemigraspus sanguineus
Cottus sp.
Scorpaena porcus
Scopelogadus beanii
Mustela putorius furo
Oncorhynchus kisutch
Lampanyctus crocodilus
Blicca bjoerkna
Taurulus bubalis
Merluccius productus
Portunus spinimanus
Eristalis arbustorum
Sergia maximus
Calliphora erythrocephala
Rana pipiens
Cyrtodiopsis dalmanni
Capra hircus
Geomys bursarius
Acipenser ruthenus
Rhinomuraena quaesita
Troides aeacus formosanum
Elephas maximus
Anas platyrhynchus
Acanthropagrus schlegelii
Papio papio
Cloridopsis dubia
Sminthopsis crassicaudata
Lasioderma serricorne
Canis lupus familiaris
Anolis conspersus
Icelinus borealis
Bonapartia pedalioita
Tramitichromis intermedius
Frankliniella occidentalis
Anartia jatrophae
Chelidonichthys lucernus
Oryctolagus cuniculus
Pandalus montagui
Rana catesbeiana larvae
Celastrina argiolus
Aptychotrema vincentiana
Xiphister mucosus
Cyprinodon variegatus
Cambarellus schufeldtii
Echiostoma barbatum
Trygonorrhina fasciata
Artemia salina
Astatotilapia burtoni
Melopsittacus undatus
Pristiapogon kallopterus
Amia calva
Plesionika martia
Petrolisthes elongates
Estrilda troglodytes
Ichthyococcus ovatus
Lutjanus bohar
Helostoma temminkii
Argyropelecus gigas
Carabus nemoralis
Radiicephalus elongatus
Upeneus tragula
Daubentonia madagascariensis 
Pundamilia azurea
Anolis gundlachi
Melipona quadrifasciata
Pipilo fuscus
Nectamia  Savayensis
Myoxocephalus brandti
Platichthys flesus
Phodopus sungorus
Limnocottus eurystomus
Astyanax fasciatus
Nymphalis xanthomelas
Neotrygon kuhlii
Spermophilus beecheyi
Thamnophis sirtalis sirtalis
Argyropelecus hemigymnus
Felis catus
Thunnus albacares
Bicellonycha wickershamorum
Parnassius glacialis
Mysis diluviana
Nothoprocta cinerascens
Lepisosteus platostomus
Aetobatus narinari
Adoxophyes orana
Gymnocanthus pistilliger
Cataglyphis bicolor
Cerceris rybyensis
Meganyctiphanes norvegica
Argentina silus
Electrona risso
Sargocentron diadema
Hoplostethus atlanticus
Cercopithecus petaurista
Passer domesticus
Coturnix coturnix
Gonodactylus smithii
Corvus frugilegus
Rhynchobatus australiae
Rana cracrivora
Lonchura malabarica
Cyttopsis roseus
Chlorocebus aethiops
Papilio aegeus
Melopsittacus undulatus
Cynops pyrrhogaster
Borostomias panamensis
Acantholumpenus mackayi
Rhizoprionodon taylori
Turdus merula
Neogonodactylus curacaoensis
Gekko gekko
Mugil cephalus
Meriones unguiculatus
Microcottus sellaris
Praunus flexuosus
Stichaeus nozawae
Myoxocephalus stelleri
Philanthus triangulum
Danio aequipinnatus
Sufflamen bursa
Amadina fasciata
Ameiurus melas
Stylephorus chordatus
Sygnathus leptorhynchus
Orectolobus maculatus
Papilio xuthus
Pholis omata
Sepia plangon
Pyrophorus divergens
Scorpaenichthys marmoratus
Daubentonia madagascariensis
Zebrasoma flavescens
Dicrolene intronigra
Curtos sp.
Bombus monticola
Bero elegance
Melecta punctata
Hepatus epheliticus
Chaetodon kleinii
Centrophorus squamosus
Phytichthys chirus
Dardanus fucosus
Pseudotropheus tropheops
Glossophaga soricina
Cirrhilabrus solorensis
Aeshna tuberculifera
Chauliodus sloanei
Cephalopachus bancanus
Colias erate
Sympetrum rubicundulum
Eristalis tenax
Callambulyx tatarinovii
Thermonectus maromoratus
Thysanoessa raschii
Pleuronectes obscurus
Lutjanus sebae
Ostorhinchus Doederleini
Rutilis rutilis
Sargocentron microstoma
Cottocomephorus grewingki
Ostorhinchus Cyanosoma
Lutjanus argentimaculatus
Bathylagus longirostris
Poecilia latipinna
Typhlops platycephalus
Taaningichthys bathyphilus
Rhinobatos lentiginosus
Ctenochaetus strigosus
Myzus persicae
Melanochromis auratus
Hemilepidotus hemilepidotus
Tribolodon hakonensis
Carassius auratus
Pundamilia red head
Phycis blennoides
Sphyrna tiburo
Gonepteryx aspasia
Polyipnus polli
Abramis brama
Tenthredo scrophulariae
Bufo bufo
Salvelinus alpinus
Scaphirhynchus albus
Petromyzon marinus
Dacus oleae
Parupeneus multifasciatus
Oreochromis nilocticus
Lepidorhombus boscii
Xenos peckii
Meningodora miccyla
Benthosema suborbitale
Neochmia modesta
Daphnia magna
Notonecta irrorata
Nephotettix cincticeps
Lates calcarifer
Stichaeus grigorjevi
Palaemonetes paladosus
Necturus maculosus
Paracheirodon innesi
Leiothrix lutea
Homo sapiens
Nerophis ophidion
Xenodermichthys  copei
Xenopeltis unicolor
Neogonodactylus oertstedii
Hippoglossoides elassodon
Anax junius
Blatta orientalis
Cancer irroratus
Isoodon obesulus
Opsanus tau
Diaphus holti
Lestrimelitta limao
Scomberomorus sierra
Tursiops truncates
Spodoptera exigua
Evermannella balbo
Aulostomus chinensis
Haplochromis pyrrhocephalus
Jordania zonope
Proxylocopa sp.
Camponotus abdominalis
Cambarellus ludovicianus
Synaphobranchus kaupi
Bibio sp.
Chamaeleo dilepis
Equus caballus
Coryphaenoides profundicolus
Rhadinesthes decimus
Anolis bahorucoensis
Gymnocanthus intermedius
Batrachocottus nicolskii
Chauliodus danae
Manduca sexta
Dromiceius novae-hollandae
Hipposideros speoris
Vulpes lagopus
Leontopithecus rosalia rosalia
Oncorhynchus keta
Pieris rapae crucivora
Hariotta raleighana
Ptilichthys goodei
Nasua nasua
Acanthephyra curtirostris
Anthophora acervorum
Ptychozoon lionotum
Platyberyx opalescens
Scaphirhynchus platorynchus
Asterocampa leilia
Limenitis archippus archippus
Forcipiger flavissimus
Carpodacus mexicanus
Luciola lateralis
Marosatherina ladigesi
Sardinops melanostictus
Anolis lineatopus
Anas platyrhynchos
Scardinius erythrophthalmus
Thysanopoda acutifrons
Acartia tonsa
Tabanus bromius
Peprilus stimillimus
Chromis vanderbilti
Blepsias cirrhosus
Deania calcea
Kali macrodon
Lycaena dorcas
Liparis dennyi
Polygonia c-aureum
Poecilia reticulata
Pervagor aspricaudus
Photostomias guernei
Gekko gecko
Heliconius erato petiverana
Carollia perspicillata
Sternoptyx pseudobscura
Amphilophus longimanus
Simulium sp.
Cebus sp.
Anolis stratulus
Hemidactylus frenatus
Ambystoma tigrinum adult
Rhabdamia  Gracilis
Aglais urticae
Luciola sp.
Chrysoperla carnea
Heliothis zea
Dissostichus mawsoni
Formica polyctena
Eurypharynx pelecanoides
Merluccius merluccius
Pseudotropheus  acei
Antimora rostrata
Apodemia mormo
Carcharhinus acronotus
Amyelois transitella
Hypsurus caryi
Cebus spp.
Gobiusculus flavescens
Spalacopus cyanus
Callithrix jacchus jacchus
Malacocephalus laevis
Janicella spinacauda
Systellaspis debilis
Trigla cuculus
Pomatoschistus minutus
Ictalurus catus
Acipenser transmontanus
Chaceon affinis
Deilephila elpenor
Sargocentron punctatissimum
Pullosquilla litoralis
Brachyistius frenatus
Opisthoproctus grimaldii
Abudefduf abdominalis
Cottus gobio
Ronquilus jordani
Syngnathus typhle
Myripristis violacea
Platycercus elegans
Anguilla anguilla
Phoca vitulina
Psettichthys melanostictus
Heliothis virescens
Axoclinius carminalis
Trachyscorpia cristulata
Myrmecia croslandi
Zenaida macroura
Citharichthys sordidus
Myotis lucifugus
Cicindela chinensis
Gonostoma denudatum
Pasiphaea multidentata
Leptinotarsa decemlineata
Megalops atlanticus
Fabriciana adippe
Tarsius bancanus
Limenitis lorquini
Platytroctes apus
Halosauropsis macrochir
Photinus pyralis
Ichneumon spp.
