Phylum,Class,Order,Family,Species,Type,Wavelength,Band,Oil,Nocturnal Activity,Diurnal Activity,Source
,,,,,,,,,,,
Arthropoda,Arachnida,Aranae,Araneidae,Argiope amoena,,360,,,Y,Y,Yamashita & Tateda 1978
Arthropoda,Arachnida,Aranae,Araneidae,Argiope amoena,,490,,,Y,Y,Yamashita & Tateda 1978
Arthropoda,Arachnida,Aranae,Araneidae,Argiope amoena,,540,,,Y,Y,Yamashita & Tateda 1978
Arthropoda,Arachnida,Aranae,Araneidae,Argiope bruennichi,,360,,,Y,Y,Yamashita & Tateda 1978
Arthropoda,Arachnida,Aranae,Araneidae,Argiope bruennichi,,490,,,Y,Y,Yamashita & Tateda 1978
Arthropoda,Arachnida,Aranae,Araneidae,Argiope bruennichi,,540,,,Y,Y,Yamashita & Tateda 1978
Arthropoda,Arachnida,Aranae,Ctenidae,Cupiennius salei,,340,,,Y,N,Walla et al. 1996
Arthropoda,Arachnida,Aranae,Ctenidae,Cupiennius salei,,480,,,Y,N,Walla et al. 1996
Arthropoda,Arachnida,Aranae,Ctenidae,Cupiennius salei,,520,,,Y,N,Walla et al. 1996
Arthropoda,Arachnida,Aranae,Salticidae,Menemerus confusus,,360,,,N,Y,Yamashita & Tateda 1976
Arthropoda,Arachnida,Aranae,Salticidae,Menemerus confusus,,490,,,N,Y,Yamashita & Tateda 1976
Arthropoda,Arachnida,Aranae,Salticidae,Menemerus confusus,,530,,,N,Y,Yamashita & Tateda 1976
Arthropoda,Arachnida,Aranae,Salticidae,Menemerus confusus,,538,,,N,Y,Yamashita & Tateda 1976
Arthropoda,Arachnida,Aranae,Salticidae,Menemerus confusus,,580,,,N,Y,Yamashita & Tateda 1976
Arthropoda,Arachnida,Aranae,Salticidae,Phidippus regius,,370,,,N,Y,De Voe 1972
Arthropoda,Arachnida,Aranae,Salticidae,Phidippus regius,,532,,,N,Y,De Voe 1972
Arthropoda,Arachnida,Aranae,Salticidae,Plexippus validus,,360,,,N,Y,Blest et al. 1981
Arthropoda,Arachnida,Aranae,Salticidae,Plexippus validus,,520,,,N,Y,Blest et al. 1981
Arthropoda,Branchiopoda,Anomopoda,Daphniidae,Daphnia magna,,348,,,,,Smith and Macagno 1990
Arthropoda,Branchiopoda,Anomopoda,Daphniidae,Daphnia magna,,434,,,,,Smith and Macagno 1990
Arthropoda,Branchiopoda,Anomopoda,Daphniidae,Daphnia magna,,525,,,,,Smith and Macagno 1990
Arthropoda,Branchiopoda,Anomopoda,Daphniidae,Daphnia magna,,608,,,,,Smith and Macagno 1990
Arthropoda,Insecta,Blattodea,Blattidae,Periplaneta americana,,365,,,Y,N,Mote & Goldsmith 1970; Paul et a. 1986
Arthropoda,Insecta,Blattodea,Blattidae,Periplaneta americana,,505,,,Y,N,Mote & Goldsmith 1970; Paul et a. 1986
Arthropoda,Insecta,Coleoptera,Carabidae,Carabus auratus,,348,,,Y,Y,Hasselmann 1962
Arthropoda,Insecta,Coleoptera,Carabidae,Carabus auratus,,430,,,Y,Y,Hasselmann 1962
Arthropoda,Insecta,Coleoptera,Carabidae,Carabus auratus,,500,,,Y,Y,Hasselmann 1962
Arthropoda,Insecta,Coleoptera,Carabidae,Carabus auratus,,620,,,Y,Y,Hasselmann 1962
Arthropoda,Insecta,Coleoptera,Carabidae,Carabus nemoralis,,348,,,Y,Y,Hasselmann 1962
Arthropoda,Insecta,Coleoptera,Carabidae,Carabus nemoralis,,430,,,Y,Y,Hasselmann 1962
Arthropoda,Insecta,Coleoptera,Carabidae,Carabus nemoralis,,500,,,Y,Y,Hasselmann 1962
Arthropoda,Insecta,Coleoptera,Carabidae,Carabus nemoralis,,620,,,Y,Y,Hasselmann 1962
Arthropoda,Insecta,Coleoptera,Coccinellidae,Coccinella septempunctata,,360,,,N,Y,"Lin 1993, J. Insect Phys. 39:555-562"
Arthropoda,Insecta,Coleoptera,Coccinellidae,Coccinella septempunctata,,520,,,N,Y,Lin 1993
Arthropoda,Insecta,Coleoptera,Coccinellidae,Coccinella septempunctata,,420,,,N,Y,Lin 1993
Arthropoda,Insecta,Coleoptera,Lampyridae,Bicellonycha wickershamorum,,400,,,Y,N,Lall et a. 1988
Arthropoda,Insecta,Coleoptera,Lampyridae,Bicellonycha wickershamorum,,560,,,Y,N,Lall et a. 1988
Arthropoda,Insecta,Coleoptera,Lampyridae,Photinus collustrans,,425,,,Y,N,Lall et a. 1988
Arthropoda,Insecta,Coleoptera,Lampyridae,Photinus collustrans,,560,,,Y,N,Lall et a. 1988
Arthropoda,Insecta,Coleoptera,Lampyridae,Photinus macdermotti,,400,,,Y,N,Lall et a. 1988
Arthropoda,Insecta,Coleoptera,Lampyridae,Photinus macdermotti,,575,,,Y,N,Lall et a. 1988
Arthropoda,Insecta,Coleoptera,Lampyridae,Photinus marginellus,,375,,,Y,N,Lall et a. 1988
Arthropoda,Insecta,Coleoptera,Lampyridae,Photinus marginellus,,565,,,Y,N,Lall et a. 1988
Arthropoda,Insecta,Coleoptera,Lampyridae,Photinus pyralis,,375,,,Y,N,Lall et a. 1988
Arthropoda,Insecta,Coleoptera,Lampyridae,Photinus pyralis,,570,,,Y,N,Lall et a. 1988
Arthropoda,Insecta,Coleoptera,Lampyridae,Photinus scintillans,,450,,,Y,N,Lall et a. 1988
Arthropoda,Insecta,Coleoptera,Lampyridae,Photinus scintillans,,580,,,Y,N,Lall et a. 1988
Arthropoda,Insecta,Coleoptera,Lampyridae,Photuris frontalis,,350,,,Y,N,Lall et a. 1988
Arthropoda,Insecta,Coleoptera,Lampyridae,Photuris frontalis,,560,,,Y,N,Lall et a. 1988
Arthropoda,Insecta,Coleoptera,Lampyridae,Photuris lucicrescens,,350,,,Y,N,Lall et a. 1988
Arthropoda,Insecta,Coleoptera,Lampyridae,Photuris lucicrescens,,440,,,Y,N,Lall et a. 1988
Arthropoda,Insecta,Coleoptera,Lampyridae,Photuris lucicrescens,,550,,,Y,N,Lall et a. 1988
Arthropoda,Insecta,Coleoptera,Lampyridae,Photuris potomaca,,375,,,Y,N,Lall et a. 1988
Arthropoda,Insecta,Coleoptera,Lampyridae,Photuris potomaca,,560,,,Y,N,Lall et a. 1988
Arthropoda,Insecta,Diptera,Drosophilidae,Drosophila melanogaster,,345,,,Y,N,Bernard & Stavenga 1979
Arthropoda,Insecta,Diptera,Drosophilidae,Drosophila melanogaster,,370,,,Y,N,Bernard & Stavenga 1979
Arthropoda,Insecta,Diptera,Drosophilidae,Drosophila melanogaster,,440,,,Y,N,Bernard & Stavenga 1979
Arthropoda,Insecta,Diptera,Drosophilidae,Drosophila melanogaster,,480,,,Y,N,Bernard & Stavenga 1979
Arthropoda,Insecta,Diptera,Drosophilidae,Drosophila melanogaster,,520,,,Y,N,Bernard & Stavenga 1979
Arthropoda,Insecta,Diptera,Muscidae,Musca domestica,,335,,,N,Y,Hardie 1985
Arthropoda,Insecta,Diptera,Muscidae,Musca domestica,,355,,,N,Y,Hardie 1985
Arthropoda,Insecta,Diptera,Muscidae,Musca domestica,,460,,,N,Y,Hardie 1985
Arthropoda,Insecta,Diptera,Muscidae,Musca domestica,,490,,,N,Y,Hardie 1985
Arthropoda,Insecta,Diptera,Muscidae,Musca domestica,,530,,,N,Y,Hardie 1985
Arthropoda,Insecta,Diptera,Syrphidae,Eristalis tenax,,350,,,N,Y,Horridge et al. 1975
Arthropoda,Insecta,Diptera,Syrphidae,Eristalis tenax,,450,,,N,Y,Horridge et al. 1975
Arthropoda,Insecta,Diptera,Syrphidae,Eristalis tenax,,520,,,N,Y,Horridge et al. 1975
Arthropoda,Insecta,Hemiptera,Notonectidae,Notonecta glauca,,350,,,Y,Y,Bruckmoser 1968
Arthropoda,Insecta,Hemiptera,Notonectidae,Notonecta glauca,,420,,,Y,Y,Bennett & Ruck 1970
Arthropoda,Insecta,Hemiptera,Notonectidae,Notonecta glauca,,567,,,Y,Y,Bennett & Ruck 1970
Arthropoda,Insecta,Hemiptera,Notonectidae,Notonecta insulata,,375,,,Y,Y,Bennett & Ruck 1970
Arthropoda,Insecta,Hemiptera,Notonectidae,Notonecta insulata,,475,,,Y,Y,Bennett & Ruck 1970
Arthropoda,Insecta,Hemiptera,Notonectidae,Notonecta insulata,,520,,,Y,Y,Bennett & Ruck 1970
Arthropoda,Insecta,Hemiptera,Notonectidae,Notonecta irrorata,,375,,,Y,Y,Bennett & Ruck 1970
Arthropoda,Insecta,Hemiptera,Notonectidae,Notonecta irrorata,,475,,,Y,Y,Bennett & Ruck 1970
Arthropoda,Insecta,Hemiptera,Notonectidae,Notonecta irrorata,,520,,,Y,Y,Bennett & Ruck 1970
Arthropoda,Insecta,Hemiptera,Notonectidae,Notonecta undulata,,375,,,Y,Y,Bennett & Ruck 1970
Arthropoda,Insecta,Hemiptera,Notonectidae,Notonecta undulata,,475,,,Y,Y,Bennett & Ruck 1970
Arthropoda,Insecta,Hemiptera,Notonectidae,Notonecta undulata,,520,,,Y,Y,Bennett & Ruck 1970
