Albula vulpes
Mysis diluviana
Mullus barbatus
Neonesthes capensis
Alepocephalus bairdii
Eurypanopeus depressus
Ahliesaurus berryi
Platytroctes apus
Rana catesbeiana larvae
Phalaenoides glycinae
Lysiosquillina maculate
Sergia grandis
Spermophilus beecheyi
Oligocottus maculosus
Glossina moritans moritans
Potos flavus
Nomada albogutata
Histiobranchus bathybius
Argyropelecus aculeatus
Oplophorus sp.
Coturnix  japonica
Bathophilus brevis
Systellaspis cristata
Xiphister  atropurpureus
Heteromysis formosa
Acanthopagrus butcheri
Cercopithecus diana
Panorpa communis
Papio papio
Electrona risso
Carcharhinus acronotus
Thysanoessa raschii
Otolemus cassicaudatus
Delia radicum
Eutrigla gurnardus
Strophidon sathete
Chauliodus sloani
Peprilus simillimus
Lutjanus carponotatus
Gymnothorax favagineus
Sigmops elongatus
Limnocottus griseus
Engaeus cunicularius
Metriaclima melabranchion
Halosauropsis macrochir
Chirolophis japonicus
Meleagris  galoparvo
Colletes fulgidus
Schwarziana sp.
Lucidina biplagiata
Ovipales stephensoni
Chirostomias pliopterus
Dascyllus albisella
Lampanyctus crocodilus
Sergestes curvatus
Mysis relicta sp.IV
Pyrocoelia sp.
Cyrtopodion fedtschenkoi
Agonopsis vulsa
Lethrus apterus
Aphanopus  carbo
Trachurus mediterraneus
Condylostylus japonicus
Glaucomys sabrinus
Cicindela specularis
Trygonorrhina fasciata
Gonodactylellus affinis
Rynchophorus ferrugineus
Pleuroncodes planipes
Liparis greeni
Squalus suckleyi
Synaphobranchus kaupi
Pomacentrus melanochir
Bothragonus  swani
Lampetra fluviatilis
Trigona spinipes
Bombus jonellus
Papilo bianor
Makaira nigricans
Sergia phorcus
Leptograpsus variegatus
Trachemys scripta
Anolis grahami
Acanthurus achilles
Coregonus clupeoides
Cottunculus thomsonii
Abyssocottus korotneffi
Coryphaenoides armatus
Pasiphaea chacei
Parantica sita
Coryphaenoides guntheri
Ophiodon elongatus
Abudefduf abdominalis
Margrethia obtusirostra
Coregonus lavaretus
Notoscopelus resplendens
Nasua nasua
Cicindela chinensis
Photinus collustrans
Urobatis jamaicensis
Cottocomephorus grewingkii
Acanthephyra smithi
Acanthephyra purpurea
Zanclus cornutus
Asterocampa celtis
Sebastes maliger
Ernogrammus hexagrammus
Artedius fenestralis
Cerceris rybyensis
Ichthyophis kohtaoensis
Dendrochirus zebra
Ronquilus jordani
Ruscarius meanyi
Spirinchus thaleichthys
Metriaclima livingstonii
Benthosema suborbitale
Centrophorus squamosus
Acanthropagrus major
Alima pacifica
Anax junius
Erythrocebus patas
Aeschna cyanea and mixta
Opisthocentrus ocellatus
