Panulirus argus
Acanthephyra purpurea
Gasterosteus acuelatus
Amia calva
Talismania antillarum
Libelloides macaronius
Diplodus annularis
Aedes albopictus
Hexagrammos stelleri
Streptopelia roseogrisea
Photuris potomaca
Idiacanthus fasciola
Necturus maculosus
Limnocottus bergianus
Daphnia magna
Ascelichthys rhodorus
Acanthurus nigroris
Sciurus carolinensis
Photinus scintillans
Pasiphaea emarginata
Urocyon littoralis
Pandalus borealis
Bentheogennema pasithea
Setonix brachyurus
Rhadinesthes decimus
Lycaena rubidus
Gymnothorax reticularis
Spirinchus thaleichthys
Hippocampus barbouri
Portunus spinimanis
Bombus hypnorum
Uca pugnax
Vinciguerria nimbaria
Onitis alexis
Odontodactylus scyllarus
Symphodus melops
Rana cancrivora
Heliothis zea
Neogonodactylus oertstedii
Gonostoma atlanticum
Macroglossum stellatarum
Cambarellus ludovicianus
Menippe mercenaria
Lutjanus fulviflamma
Melanochromis  vermivorus
Mysis relicta sp.II
Pundamilia pundamilia
Lethrinops parvidens
Rhinocheilus lecontei
Thysanoessa raschii
Bellocia  koefoedi
Sphyrna tiburo
Manduca sexta
Loligo forbesii
Lonchura malacca
Cyprinodon variegatus
Myoxocephalus jaok
Xiphister atropurpureus
Myotis velifer
Delia radicum
Neotrygon kuhlii
Oncorhynchus mykiss
Coronis scolopendra
Spermophilus tridecemlineatus
Belone belone
Bicellonycha wickershamorum
Balanus amphitrite
Tabanus bromius
Osmerus eperlanus
Arenaeus cribrarius
Mesocricetus auratus
Libellula pulchella
Coturnix coturnix
Anolis krugi
Ovipales stephensoni
Conger conger
Scylla serrata
Bothragonus  swani
Siproeta stelenes
Inachis io
Parupeneus multifasciatus
Amadina fasciata
Chauliodus danae
Trematomus loennbergii
Bombus  impatiens
Polyodon spathula
Myoxocephalus scorpius
Alima pacifica
Pyrearinus termitilluminans
Aptychotrema vincentiana
Coregonus lavaretus
Micrometrus aurora
Bos taurus
Myrmecia vindex
Anolis grahami
Miopithecus talapoin
Isopsetta isolepis
Citharichthys sordidus
Mirza coquereli
Sminthopsis crassicaudata
Ctenomys magellanicus
Lutjanus bohar
Pandalus montagui
Ahliesaurus berryi
Acipenser ruthenus
Hermeuptychia hermes
Sergia grandis
Aedes aegypti
Limnocottus eurystomus
Bombus affinis
Sergestes corniculum
Lonchura striata
Nematobrachion sexpinosum
Centrophorus squamosus
Apodemia spp.
Gymnothorax favagineus
Homarus americanus
Anomala corpulenta
Acanthephyra stylorostratis
Gallus  gallus domesticus
Bombus jonellus
Meningodora vesca
Urobatis jamaicensis
Rhea  americana
Loris tardigradus
Pomatoschistus microps
Sphyraena barracuda
Poecilia mexicana
Cottus gobio
Odocoileus virginianus
Pleurodeles waltl
Zoramia  Viridiventer
Larus atricilla
Nasua nasua
Dacus oleae
Tenebrio molitor
Blicca bjoerkna
Zaniolepis frenata
Solenopsis saevissima
Ptychozoon lionotum
Xenopus laevis
Limenitis weidemeyerii
Neoniphon sammara
Gobius niger
Rouleina aderensis
Danio malabaricus
Ictalurus melas
Limulus polyphemus
Pieris rapae
Cyrtopodion caspium
Tupaia glis
Poromitra capito
Luciola lateralis
Carcharhinus amboinensis
Limenitis archippus archippus
Cephalopachus bancanus
Coryphaenoides carapinus
Formica polyctena
Heliconius melpomene
Condylostylus japonicus
Pleurogrammus azonus
Bombus monticola
Pieris melete
Osmia rufa
Cambarellus schufeldtii
Mylochromis lateristriga
Ostorhinchus Doederleini
Octopus tetricus
Psychrolutes paradoxus
Pagurus annulipes
Systellaspis debilis
Cottocomephorus inermis
Ctenomys talarum
Bicyclus anynana
Ictalurus punctatus
Sesarma reticulatum
Diaphus rafinesquei
Trachurus mediterraneus
