Libellula pulchella
Psettichthys melanostictus
Gekko gekko
Limanda aspera
Buteo jamaicensis
Vanessa cardui
Rynchophorus ferrugineus
Bicyclus anynana
Lestrimelitta limao
Bathylagus longirostris
Bombus morio
Gilbertidia sigalutes
Malacosteus niger
Syngnathus typhle
Coryphaenoides guntheri
Platichthys flesus
Argiope amoena
Lipophyrs pholis
Eulemur fulvus fulvus
Bombus hortorum
Anilius scytale
Ampelophaga rubiginosa
Inachis io
Engraulis japonicus
Gasterosteus sp.
Plesionika martia
Vespo crabro
Abyssocottus korotneffi
Acyrthosiphon pisum
Rhinatrema bivittatum
Sigmops bathyphilus
Sergia splendens
Carcharhinus acronotus
Typhlops platycephalus
Opsanus tau
Homarus gammarus
Symphodus melops
Tarsipes rostratus
Hemigraspus sanguineus
Atherina boyeri
Borostomias panamensis
Gonepteryx aspasia
Batrachocottus nicolskii
Callithrix jacchus jacchus
Cheirogaleus medius
Phoca groenlandicus
Deilephila elpenor
Idiosepius notoides
Schwarziana sp
Actias artemis aliena
Hipposideros speoris
Meningodora miccyla
Chromis hanui
Rhinomuraena quaesita
Sphodromantis sp.
Ctenophorus ornatus
Melanochromis vermivorus
Vespula vulgaris
Porichthys notatus
Ahliesaurus berryi
Ostracion meleagris
Melanphaes canthomus
Peprilus stimillimus
Canis lupus familiaris
Cephalopachus bancanus
Platichthys stellatus
Acanthephyra smithi
Archaeopropona demophon
Gymnocanthus pistilliger
Benthalbella  infans
Micrometrus minimus
Aptychotrema rostrata
Nymphalis antiopa
Dasycottus setiger
Bathylagus greyae
Polyodon spathula
Oreochromis nilocticus
Microstomus pacificus
Astyanax fasciatus
Limnocottus bergianus
Eumicrotremus orbis
Pseudozizeeria maha
Scomberomorus sierra
Lutjanus erythropterus
Photinus versicolor
Abramis ballerus
Chlamydera maculata
Pleuronectes platessa
Aulorhynchus flavidus
Turdus merula
Urocyon littoralis
Dendrochirus zebra
Bombus lapidarius
Ovis aries
Chiloscyllium punctatum
Pagurus pollicaris
Zoramia  Leptacanthus
Melipona quadrifasciata
Coronis scolopendra
Rhabdamia  Gracilis
Streptopelia roseogrisea
Conocara salmonea
Liparis pulchellus
Rhamphocottus richardsonii
Bodianus bilunnulatus
Carcinus maenas
Oreocromis niloticus
Galago senegalensis
Pristiapogon kallopterus
Clinocottus globiceps
Thylamys elegans
Ceratoscopelus warmingii
Antheraea polyphemus
Carabus nemoralis
Leontopithecus rosalia rosalia
Maylandia zebra
Anas platyrhynchus
Oncorhynchus kisutch
Pundamilia au
Thysanoessa raschii
Mysis relicta sp.II
Potamotrygon motoro
Lutjanus adetii
Stichaeopsis nana
Psychrolutes paradoxus
Myoxocephalus jaok
Acipenser medirostris
Pseudopleuronectes herzensteini
Hemilepidotus hemilepidotus
Radiicephalus elongatus
Rhadinesthes decimus
Pilumnus sayi
Apis mellifera
Cerceris rybyensis
Microgadus proximus
Meriones unguiculatus
Xenopus laevis
Acanthephyra stylorostratis
Photinus macdermotti
Cottus gobio
Plectroglyphidodon johnstonianus
Calappa flammea
Heliconius numata
Heliconius sara
Hariotta raleighana
Lepidion eques
Alburnus alburnus
Loxodonta africana
Limanda limanda
Callambulyx tatarinovii
Rhizoprionodon taylori
Sepioteuthis lessoniana
Xiphydria camelus
Danio rerio
