Libellula pulchella
Nothoprocta cinerascens cinerascens
Psettichthys melanostictus
Balanus eburneus
Agonopsis vulsa
Sphoeroides annulatus
Lepidopsetta bilineata
Gekko gekko
Limanda aspera
Chauliodus danae
Buteo jamaicensis
Vanessa cardui
Metriaclima barlowi
Rynchophorus ferrugineus
Mylochromis lateristriga
Lestrimelitta limao
Bathylagus longirostris
Heteromysis formosa
Sphyrna lewini
Bombus morio
Gilbertidia sigalutes
Malacosteus niger
Geomys bursarius
Ameiurus catus
Coryphaenoides guntheri
Platichthys flesus
Argiope amoena
Lipophyrs pholis
Pteropus dasymallus
Pervagor spilosoma
Rhea americana
Rana pipiens
Bombus hortorum
Anilius scytale
Hydrolagus colliei
Mora moro
Inachis io
Rouleina attrita
Lysiosqullia sulcata
Myoxocephalus jack
Gasterosteus sp.
Plesionika martia
Pavo  cristatus
Vespo crabro
Abyssocottus korotneffi
Acyrthosiphon pisum
Limnocottus griseus
Rhinatrema bivittatum
Sebastes caurinus
Sigmops bathyphilus
Vinciguerria nimbaria
Sergia splendens
Carcharhinus acronotus
Cyrtopodion caspium
Sargocentron tiere
Scorpaena porcus
Typhlops platycephalus
Opsanus tau
Homarus gammarus
Caranx hippos
Symphodus melops
Hemigraspus sanguineus
Brachydanio rerio
Borostomias panamensis
Bodianus bilunulatus
Ronquilus jordani
Gonepteryx aspasia
Scardinius erythrophthalmus
Oncorhynchus tshawytscha
Batrachocottus nicolskii
Clibanarius vittatus
Puffinus puffinus
Hydrolagus mirabilis
Bathysaurus ferox
Phoca groenlandicus
Deilephila elpenor
Dermogenys pusilla
Antimora  rostrata
Idiosepius notoides
Schwarziana sp
Actias artemis aliena
Hipposideros speoris
Clupea pallasii
Gonostoma bathyphilum
Meningodora miccyla
Chromis punctipinnis
Chromis hanui
Sagiunus midas
Rhinomuraena quaesita
Trachyscorpia cristulata
Lampadena speculigera
Sphodromantis sp.
Ctenophorus ornatus
Pagurus longicarpus
Chimaera monstrosa
Vespula vulgaris
Pasiphaea suspirosum
Porichthys notatus
Engaeus cunicularius
Bentheogennema pasithea
Anolis extremus
Ahliesaurus berryi
Ostracion meleagris
Alosa kessleri
Lutjanus bohar
Erythrocebus patas
Melanonus zugmayeri
Melanphaes canthomus
Taeniura lymma
Marosatherina ladigesi
Peprilus stimillimus
Canis lupus familiaris
Zebrasoma veliferum
Paracottus knerii
Camponotus abdominalis
Enophrys bison
Platichthys stellatus
Acanthephyra smithi
Leocottus kesslerii
Archaeopropona demophon
Colletes fulgidus
Ichthyococcus ovatus
Gymnocanthus pistilliger
Benthalbella  infans
Sufflamen bursa
Micrometrus minimus
Aptychotrema rostrata
Limenitis lorquini
Dasycottus setiger
Bathylagus greyae
Oreochromis nilocticus
Microstomus pacificus
Astyanax fasciatus
Limnocottus bergianus
Dicrolene intronigra
Bassozetus compresis
Ctenomys magellanicus
Squilla empusa
Eumicrotremus orbis
Scomberomorus sierra
Pseudozizeeria maha
Mysis diluviana
Cercopithecus diana
Cercopithecus cephus
Cercopithecus petaurista
Odontodactylus havanensis
Photinus versicolor
Eigenmannia virescens
Gryllus campestris
Lysiosquillina maculate
Abramis ballerus
Chlamydera maculata
Kali macrodon
Aulorhynchus flavidus
Metriaclima benetos
Turdus merula
Urocyon littoralis
Dendrochirus zebra
Sericulus crysocephalus
Bombus lapidarius
