Panopeus herbtii
Amadina fasciata
Gobius paganellus
Platichthys stellatus
Metriaclima livingstonii
Ovis aries
Syngnathus leptorhynchus
Enteroctopus dofleini
Mugil cephalus
Aeshna tuberculifera
Gonodactylus smithii
Centrophorus squamosus
Hoplostethus mediteranus
Eigenmannia virescens
Siproeta stelenes
Thysanopoda orientalis
Metriaclima zebra
Leiothrix lutea
Ichthyococcus ovatus
Hippocampus subelongatus
Merluccius productus
Tripedalia cystophora
Elephas maximus
Salmo salar
Nasua nasua
Clevelandia ios
Pteropus dasymallus
Coenobita clypeatus
Tarentola chazaliae
Chaceon affinis
Carlito syrichta
Tenthredo scrophulariae
Haplochromis nyererei
Odontodactylus brevirostris
Artemia salina
Comephorus dybowskii
Heliconius erato
Streptopelia roseogrisea
Orectolobus ornatus
Ptilorhynchus violaceus
Hemilepidotus hemilepidotus
Lucania goodei
Paralabrax clathratus
Acyrthosiphon pisum
Holmesimysis costata
Cyrtopodion kotschyi
Blicca bjoerkna
Bathysaurus ferox
Hexagrammos octogrammus
Cyrtopodion caspium
Balanus amphitrite
Lonchura malacca
Hemisquilla ensigera
Poromitra capito
Otolemur garnettii
Papilio xuthus
Lutjanus sebae
Batrachocottus multiradiatus
Gonodactylellus affinis
Limnocottus bergianus
Astacus leptodactylus
Meningodora vesca
Trachurus symmetricus
Coccinella septempunctata
Coturnix coturnix
Leocottus kesslerii
Macroglossum stellatarum
Bonapartia pedalioita
Callonychium petuniae
Lepidopsetta polyxystra
Acipenser transmontanus
Mysis diluviana
Bombus distinguendis
Vulpes vulpes
Saimiri sciureus
Upeneus tragula
Ameiurus melas
Sphodromantis sp.
Lepidion  eques
Hemidactylus frenatus
Alligator mississippiensis
Antimora  rostrata
Centroswcymnus coleolepis
Pundamilia luanso
Chlorophthalmus sp.
Dama dama
Philanthus triangulum
Antimora rostrata
Coryphaenoides profundicolus
Bythograea thermydron
Papilio protenor
Cercopithecus diana
Anguilla Anguilla
Alepocephalus australis
Metriaclima barlowi
Ictalurus catus
Pandalus borealis
Rana pipiens
Lutjanus kasmira
Cyphocottus eurystomus
Anoplarchus purpurescens
Orectolobus maculatus
Anolis krugi
Stichaeopsis nana
Avahi laniger
Spodoptera exigua
Macaca fascicularis
Icelinus borealis
Lampanychtus ater
Scorpaenichthys marmoratus
Mysis relicta
Stigmatopora argus
Limanda limanda
Sergestes corniculum
Pieris rapae
Rhynchobatus australiae
Poecilia reticulata trinidad
Chaetodon kleini
Hippoglossoides elassodon
Procyon lotor
Bolinichthys indicus
Cupiennius salei
Pasiphaea multidentata
Gasterosteus sp.
Lycaena phlaeas
Lutjanus bohar
Melanphaes canthomus
Dolichonyx orzivorous
Apogon kallopterus
Phalacrocorax carbo
Jordanella floridae
Phodopus sungorus
Vespula germanica
Lampanyctus crocodilus
Perca fluviatilis
Bodianus bilunulatus
Papilio aegeus
Gobiesox maecmdricus
Abyssocottus korotneffi
Ambystoma tigrinum aquatic
Gobius niger
Pasiphaea chacei
Arichanna gaschkevitchii
Sargocentron diadema
Carollia perspicillata
Sarda chiliensis
Scardinius erythrophthalmus
Stichaeus grigorjewi
Benthalbella  infans
Nothoprocta perdicaria sanborni
Theragra chalcogramma
Coregonus lavaretus
Porichthys notatus
Xenopeltis unicolor
Estrilda troglodytes
Echiostoma barbatum
Mesoplodon bidens
Osmerus dentex
Bombus hortorum
Rutilis rutilis
Chloebia gouldiae
Libelloides macaronius
Danio rerio
Hemigraspus edwardsi
Phytichthys chirus
Tursiops truncates
Notonecta irrorata
Oreocromis niloticus
Pagurus annulipes
Sternoptyx pseudobscura
Nematoscelis megalops
Gryllus bimaculatus adult
Meningodora miccyla
Apis mellifera
Hexagrammos octagrammus
Cebus sp.
Chauliodus macouni
