Rhithropanopeus harrisii
Cottocomephorus grewingkii
Panopeus herbtii
Amadina fasciata
Amphilophus longimanus
Gobius paganellus
Chelidonichthys lucernus
Halosauropsis macrochir
Gonodactylopsis spongicola
Platichthys stellatus
Thysanopoda acutifrons
Systellaspis cristata
Metriaclima livingstonii
Citharichthys sordidus
Pholis laeta
Mysis salemaai
Ichneumon spp.
Trigona spinipes
Oxea flavescens
Coryphaenoides carapinus
Panopeus herbstii
Syngnathus leptorhynchus
Jordania zonope
Coryphaenoides guntheri
Aeshna tuberculifera
Notacanthus bonapartei
Zalembius rosaceus
Zoarces viviparus
Gonodactylus smithii
Squilla empusa
Bombus monticola
Centrophorus squamosus
Hoplostethus mediteranus
Microstoma microstoma
Alima pacifica
Rana cancrivora
Eigenmannia virescens
Siproeta stelenes
Thysanopoda orientalis
Metriaclima zebra
Leiothrix lutea
Ichthyococcus ovatus
Hippocampus subelongatus
Merluccius productus
Argyropelecus aculeatus
Papilo bianor
Canthidermis maculatus
Nasua nasua
Zoramia  Leptacanthus
Haplochromis pyrrhocephalus
Clevelandia ios
Embiotoca lateralis
Crangon allmani
Pteropus dasymallus
Anolis evermanni
Thysanoessa raschii
Plesionika martia
Coenobita clypeatus
Sergestes similis
Hexagrammos stelleri
Tarentola chazaliae
Chaceon affinis
Photinus collustrans
Pseudopleuronectes herzensteini
Tenthredo scrophulariae
Psychrobites paradoxus
Haplochromis nyererei
Odontodactylus brevirostris
Asterocampa leilia
Artemia salina
Gymnothorax favagineus
Comephorus dybowskii
Streptopelia roseogrisea
Necturus maculosus
Orectolobus ornatus
Citellus lateralis
Ptilorhynchus violaceus
Oplophorus spinosus
Hemilepidotus hemilepidotus
Paralabrax clathratus
Mustelus henlei
Pseudosquilla ciliata
Cymatogaster aggregata
Holmesimysis costata
Dolichovespula norwegica
Cyrtopodion kotschyi
Stomias atriventer
Chromis vanderbilti
Blicca bjoerkna
Bathysaurus ferox
Poromitra megalops
Hexagrammos octogrammus
Cyrtopodion caspium
Balanus amphitrite
Diaphus rafinesqueii
Lonchura malacca
Hemisquilla ensigera
Chauliodus sloanei
Callambulyx tatarinovii
Poromitra capito
Meleagris  galoparvo
Bombus lapidarius
Anolis pulchellus
Mesocricetus brandti
Artedius harringtoni
Sepia plangon
Aglais urticae
Octopus australis
Lutjanus sebae
Batrachocottus multiradiatus
Artedius fenestralis
Synodus variegatus
Gymnura australis
Rhea  americana
Gonodactylellus affinis
Praunus flexuosus
Limnocottus bergianus
Astacus leptodactylus
Systellaspis braueri
Pteropus samoensis
Meningodora vesca
Margrethia obtusirostra
Trachurus symmetricus
Coturnix coturnix
Neope goschkevitschii
Leocottus kesslerii
Sergia phorcus
Bonapartia pedalioita
Callonychium petuniae
Megalocottus  platycephalus
Carcinus maenas
Acipenser transmontanus
Mysis diluviana
Bombus distinguendis
Plexippus validus
Rhinobatus typus
Himantura fai
Acanthephyra microphthalma
Saimiri sciureus
Upeneus tragula
Ameiurus melas
Sphodromantis sp.
Lepidion  eques
Lampanyctus alatus
Ammodytes hexapterus
Sigmops elongatus
Antimora  rostrata
Dicrolene intronigra
Centroswcymnus coleolepis
Pundamilia luanso
Chlorophthalmus sp.
Megalocottus platycephalus
Kuhlia sandvicensis
Philanthus triangulum
Antimora rostrata
Coryphaenoides profundicolus
Bythograea thermydron
Papilio protenor
Lutjanus adetii
Lepilemur ruficaudatus
Cercopithecus diana
Anguilla Anguilla
Alepocephalus australis
Talitrus saltator
Cercopithecus cephus
Metriaclima barlowi
Ictalurus catus
Pandalus borealis
Drosophilia melanogaster
Microcottus sellaris
Rana pipiens
Rangifer tarandus
Lutjanus kasmira
Neomysis americana
Trygonoptera testacea
Hyperoplus lanceolatus
Ostorhinchus Cookii
Potos flavus
Anoplarchus purpurescens
Canthidermis maculata
Orectolobus maculatus
Acipenser medirostris
Anolis krugi
Stichaeopsis nana
Acanthephyra purpurea
Thomomys bottae
Acipenser fulvescens
Icelinus borealis
Lampanychtus ater
Lepidopsetta bilineata
Scorpaenichthys marmoratus
Mysis relicta
Stigmatopora argus
Gonostoma bathyphilium
Leuroglosus stilbius
Mirza coquereli
Sergestes corniculum
Nautichthys oculofasciatus
Corvus frugilegus
Oligocottus maculosus
Rhynchobatus australiae
Spalacopus cyanus
Sesarma reticulatum
Chaetodon kleini
Cloridopsis dubia
Formica polyctena
Bentheogennema intermedia
Meganyctiphanes norvegica
Hippoglossoides elassodon
Procyon lotor
Bolinichthys indicus
Malacosteus niger
Otus asio
Agraulis vanillae
Eurypharynx pelecanoides
Pasiphaea multidentata
Gasterosteus sp.
Hemicordulia tau
Lycaena phlaeas
Lutjanus bohar
Spinachia spinachia
Rhacochilus vacca
Melanphaes canthomus
Lycaena heteronea
Liparis florae
Dolichonyx orzivorous
Apogon kallopterus
Aulostomus chinensis
Leptograspus variegatus
Jordanella floridae
Phodopus sungorus
Hydrolagus colliei
Vespula germanica
Lampanyctus crocodilus
Perca fluviatilis
Bodianus bilunulatus
Papilio aegeus
Gobiesox maecmdricus
Abyssocottus korotneffi
Pasiphaea chacei
Arichanna gaschkevitchii
Melanostigma pammelas
Synaphobranchus kaupi
Abramis ballerus
Speotyto cunicularia
Chromis hanui
Sarda chiliensis
Lycaena nivalis
Scardinius erythrophthalmus
Stichaeus grigorjewi
Benthalbella  infans
Nothoprocta perdicaria sanborni
Theragra chalcogramma
Portunus spinimanus
Coregonus lavaretus
Calliphora erythrocephala
Pomacentrus melanochir
Systellaspis debilis
Urobatis jamaicensis
Clinocottus globiceps
Porichthys notatus
Hepatus epheliticus
Estrilda troglodytes
Echiostoma barbatum
Cerceris rybyensis
Osmerus dentex
Bombus hortorum
Pagurus longicarpus
Peprilus simillimus
Rhinella [=Bufo] marinus
Myoxocephalus potyacanthocephalus
Rutilis rutilis
Saguinus oedipus
Chloebia gouldiae
Libelloides macaronius
Notostomus elegans
Petrolisthes elongates
Uca pugnax
Rana catesbeiana
Hemigraspus edwardsi
Phytichthys chirus
Gekko gekko
Notonecta irrorata
Rana catesbeiana larvae
Notonecta glauca
Pagurus annulipes
Sternoptyx pseudobscura
Nematoscelis megalops
Hariotta raleighana
Ostorhinchus Cyanosoma
Zanclus cornutus
Meningodora miccyla
Hexagrammos octagrammus
Cebus sp.
Notonecta insulata
Neoniphon aurolineatus
Furcifer pardalis
Pervagor aspricaudus
Platytroctes apus
Ichthyocossus ovatus
Carcharhinus limbatus
