Gecarcinus lateralis
Dimecoenia spinosa
Leptidae amurensis
Xiphister  atropurpureus
Lutjanus malabaricus
Anchoa mitchilli
Chirolophis japonicus
Anoplarchus purpurescens
Panopeus herbstii
Cicindela specularis
Bathophilus brevis
Ichneumon stramentarius
Python regius
Anolis extremus
Leptocottus armatus
Euprymna tasmanica
Petrolisthes elongates
Antimora rostrata
Adoxophyes orana
Libinia emarginata
Conocara salmonea
Pyrophorus divergens
Notonecta undulata
Stylocheiron maximum
Tinca tinca
Tetrapturus audax
Geryon quinquedens
Oligocottus maculosus
Lestrimelitta limao
Peprilus simillimus
Malacosteus niger
Spermophilus beecheyi
Microgadus proximus
Rhithropanopeus harrisii
Dromiceius novae-hollandae
Anoplogaster cornuta
Paravespula germanica
Pteropus dasymallus
Hemitripterus americanus
Masticophis flagellum
Mora moro
Batrachocottus baicalensis
Gymnocanthus pistilliger
Luciola sp.
Cyphocottus eurystomus
Aeshna tuberculifera
Plesionika martia
Bonapartia pedalioita
Anadevidia peponis
Scardinius erythrophthalmus
Rana cancrivora
Mauremys reevesii
Lutjanus sebae
Rhinobatus typus
Schistocerca gregaria
Sesarma cinereum
Trachyscorpia cristulata
Chloebia gouldiae
Bathysaurus mollis
Acanthropagrus schlegelii
Scorpaenichthys marmoratus
Blatella germanica
Miopithecus talapoin
Xylocopa brasilianorum
Rouleina aderensis
Siproeta stelenes
Pundamilia luanso
Sergestes curvatus
Bythograea thermydron
Pseudopleuronectes obscurus
Anolis grahami
Diaphus lucidus
Engraulis mordax
Zalembius rosaceus
Hemigraspus sanguineus
Liparis florae
Condylostylus japonicus
Oncorhynchus tshawytscha
Bombus distinguendis
Lampanychtus ater
Lissotriton vulgaris
Allograpta obliqua
Pollachius pollachius
Psychrolutes paradoxus
Sergia phorcus
Parapasiphaea sulcatifrons
Merluccius productus
Mysis diluviana
Melipona marginata
Synodus variegatus
Trigla cuculus
Dacus oleae
Ceratoscopelus warmingii
Luicola cruciata
Micrometrus aurora
Bero elegans
Cottus kessleri
Atrophaneura alcinous
Larus atricilla
Bibio sp.
Tabanus nigrovittatus
Papilio maackii
Apodemia spp.
Stichaeus grigorjevi
Nephrops norvegicus
Searsia koefoedi
Dasycottus setiger
Limenitis archippus astyanax
Minois dryas
Chauliodus danae
Spalacopus cyanus
Cyrtodiopsis dalmanni
Hippocampus subelongatus
Hymenodora glacialis
Sphyraena barracuda
Euphausia pacifica
Istiophorus  platypterus
Globicephala melas
Polygonia c-aureum
Coregonus lavaretus
Valenciennellus tripunctulatus
Poromitra megalops
Chamaeleo dilepis
Liparis pulchellus
Chirostomias pliopterus
Callinectes sapidus
Cirrhilabrus solorensis
Serinus canaria
Trematomus hansoni
Aptychotrema rostrata
Pagurus pollicaris
Acipenser medirostris
Artedius fenestralis
Sergestes tenuiremis
Nothoprocta cinerascens
Pteropus samoensis
Axoclinius carminalis
Sebastes flavidus
Gilbertidia sigalutes
Limanda limanda
Libinia dubia
Sebastes maliger
Lampadena speculigera
Philanthus triangulum
Lipophyrs pholis
Leuroglosus stilbius
Cebus spp.
Ostorhinchus Doederleini
Eulemur fulvus
Procottus jettelesii
Papio papio
Batrachocottus multiradiatus
Caprimulgus europaeus
Acanthephyra microphthalma
Neomysis mercedis
Hermeuptychia hermes
Taurulus bubalis
Nematoscelis megalops
Tursiops truncates
Nautichthys oculofasciatus
Thysanoessa raschii
Danio aequipinnatus
Neonesthes capensis
Haplonycteris fischeri
Papilio achaon
Liparis  greeni
Acanthephyra curtirostris
Glaucomys sabrinus
Lampanyctus crocodilus
Eurypanopeus depressus
Bombus jonellus
Alouatta sp.
Leptotyphlops sp.
Hippocampus angustus
Pseudosquilla ciliata
Osmerus dentex
Sebastes empaeus
Pyrearinus termitilluminans
Chlorocebus aethiops
Cambarus ludovicianus
Sepia plangon
Sergia robustus
Strophidon sathete
Aequidens pulcher
Cataetyx laticeps
Lycodes pacificus
Tarentola chazaliae
Parage aegeria
Ichthyococcus ovatus
Pagurus annulipes
Carcharhinus acronotus
Thysanopoda acutifrons
Ascelichthys rhodorus
Chelostoma florisomne
Vinciguerria nimbaria
Chromis hanui
Eigenmannia virescens
Portunus spinimanus
Limenitis lorquini
Forcipiger flavissimus
Bothragonus  swani
Loris tardigradus
Myoxocephalus potyacanthocephalus
Triglopsis quadricornis
Echiostoma barbatum
Loligo subulata
Vespo crabro
Blatta orientalis
Chaetodon kleini
Eurypharynx pelecanoides
Canis lupus familiaris
Alepocephalus bairdii
Callistoctopus dierythraeus
Sergestes arcticus
Payasandisia archon
Procambarus milleri
Nemichthys scolopaceus
Cercopithecus cephus
Urocerus gigas
Lonchura maja
Polyipnus polli
Oncorhynchus kisutch
Zebrasoma flavescens
Sternoptyx pseudobscura
Cyphonocerus rufficolis
Orconectes rusticus
Chauliodus sloani
Cyrtopodion caspium
Helostoma temminkii
Papilio protenor
Lutjanus fulviflamma
Lutjanus adetii
Melecta punctata
Chimaera monstrosa
Coturnix  japonica
Derichthys serpentinus
Acanthurus triostegus
Nasua nasua
Bathylagus euryops
Lepisosteus platostomus
Eristalis arbustorum
Anilius scytale
Anguilla bicolor
Electrona risso
Panorpa communis
Albula vulpes
Raja binoculata
Mullus barbatus
Talismania antillarum
Anartia jatrophae
Argentina silus
Gymnothorax reticularis
Pavo cristatus
Neomysis integer
Isopsetta isolepis
Gobius paganellus
Spheniscus humboldti
Pleuronectes asper
Etroplus suratensis
Psychrobites paradoxus
Eucyclogobius newberryi
Cicindela japonica
Xenos peckii
Amadina fasciata
Glossina moritans moritans
Carcinus maenas
Accipiter nisus
Kuhlia sandvicensis
Libellula pulchella
Homarus gammarus
Scopelogadus beanii
Phalaenoides glycinae
Plocepasser mahali
Acartia tonsa
Turdus merula
Ichthyocossus ovatus
Eristalis tenax
Pagurus longicarpus
Pleuronectes herzensteini
Plagiotremus rhinorhynchos
Scaphirhynchus albus
Typhlonectes natans
Gnathophausia ingens
Neogonodactylus curacaoensis
Furcifer pardalis
Synaphobranchus kaupi
Asterropteryx semipunctata
Dendroctonus pseudotsugae
Sergia maximus
Citharichthys sordidus
Puffinus puffinus
Phoca groenlandicus
Lumpenus sagitta
Bombus lapidarius
Scorpaena porcus
Octopus australis
Triglops pingelii
Sebastolobus alascanus
Icelinus borealis
Acipenser fulvescens
Epigonus  telescopus
Ostracion meleagris
Otolemus cassicaudatus
Triakis semifasciata
Copadichromis borleyi
Seriphus politus
Acanthephyra purpurea
Ostrinia nubilalis
Hydrolagus colliei
Abramis ballerus
Sternoptyx diaphana
Cambarellus schufeldtii
Lepilemur ruficaudatus
Mysis relicta
Synaphobranchus kaupii
Typhlops platycephalus
