Carabus auratus
Bonapartia pedalioita
Notonecta irrorata
Xiphister  atropurpureus
Urobatis jamaicensis
Arctia plantaginis
Syngnathus typhle
Poromitra megalops
Axoclinius carminalis
Rhinomuraena quaesita
Phycis blennoides
Haplochromis nyererei
Megalops atlanticus
Pteropus samoensis
Chirostomias pliopterus
Corvus frugilegus
Pundamilia pundamilia
Aeschna cyanea
Coryphaenoides carapinus
Citellus lateralis
Ictalurus catus
Cirrhilabrus solorensis
Octopus tetricus
Eulemur fulvus fulvus
Macaca fascicularis
Scardinius erythrophthalmus
Gymnothorax reticularis
Equus caballus
Lycaena dorcas
Ostorhinchus Doederleini
Rangifer tarandus
Palaemonetes paladosus
Platycercus elegans
Gaidropsarus mediterraneus
Scorpaena porcus
Bero elegance
Cottocomephorus grewingki
Metynnis argenteus
Theragra chalcogramma
Platichthys stellatus
Alouatta sp.
Hexagrammos octagrammus
Embiotoca jacksoni
Mus musculus
Tursiops truncates
Jasus edwardsii
Himantura fai
Symphodus melops
Upeneus tragula
Geomys bursarius
Procambarus clarkii
Salvelinus alpinus
Oxaea flavescens
Enteroctopus dofleini
Nematobrachion boopis
Panopeus herbstii
Rana temporaria
Teratoscincus scincus
Metriaclima zebra
Canthidermis maculata
Crenicichla frenata
Hemidactylus garnotii
Microgadus proximus
Parupeneus multifasceatus
Lemur catta
Hemitripterus americanus
Ailuroedus crassirostris
Loris tardigradus
Buteo buteo
Melanochromis  vermivorus
Toxotes chatareus
Nannobrachium atrum
Atrophaneura alcinous
Bombus dahlbomii
Sargocentron punctatissimum
Pandalus montagui
Coryphaenoides guntheri
Glaucostegus typus
Hexagrammos decagrammus
Strophidon sathete
Paravespula vulgaris
Ips paraconfusus
Python regius
Acanthurus nigroris
Scorpaenichthys marmoratus
Junonia coenia
Anoplogaster cornuta
Thysanopoda orientalis
Protomelas taeniolatus
Bombus lapidarius
Callonychium petuniae
Glossina moritans moritans
Tramitichromis  intermedius
Sternoptyx pseudobscura
Myripristis berndti
Hemigrapsus sanguineus
Cyprinodon variegatus
Ruscarius meanyi
Libinia emarginata
Myoxocephalus jaok
Apodemia spp.
Lucania goodei
Acanthopagrus butcheri
Mesoplodon bidens
Artemia salina
Xiphister mucosus
Thunnus albacares
Myrmecia gulosa
Siproeta stelenes
Mustelus henlei
Lepidopsetta bilineata
Synodus variegatus
Comephorus baicalensis
Alburnus alburnus
Forcipiger flavissimus
Acanthurus achilles
Caretta caretta
Anax junius
Sardinops melanostictus
Ostorhinchus Cyanosoma
Masticophis flagellum
Cynops pyrrhogaster
Sergestes corniculum
Sepia plangon
Lutzomyia longipalpis
Notonecta glauca
Eigenmannia virescens
Calappa flammea
Paralabrax clathratus
Anolis grahami
Vinciguerria nimbaria
Oncorhynchus gorbuscha
Gekko gekko
Merluccius productus
Dasycottus setiger
Chromis verater
Helostoma temminkii
Naso lituratus
Orectolobus maculatus
Carlito syrichta
Amphilophus longimanus
Rouleina attrita
Bombyx mori
Bombus terrestris dalmatinus
Urocyon littoralis
Leptidae amurensis
Hexagrammos octogrammus
Pholis laeta
Agraulis vanillae
Samia cyntia ricini
Pasiphaea chacei
Bibio marci
Cottocomephorus inermis
Leontopithecus rosalia rosalia
Chromis ovalis
Pavo  cristatus
Tarsipes rostratus
Chromis hanui
Phalacrocorax carbo
Nomada albogutata
Setonix brachyurus
Ctenophorus ornatus
Oryctolagus cuniculus
Neomysis mercedis
Bathysaurus mollis
Pomatoschistus microps
Danio aequipinnatus
Glossophaga soricina
Pervagor spilosoma
Valenciennellus tripunctulatus
Sergestes tenuiremis
Polygonia c-aureum
Lethrus apterus
Pundamilia luanso
Xenodermichthys  copei
Mysis relicta sp.II
Callinectes sapidus
Halosauropsis macrochir
Platytroctes apus
Celastrina argiolus
Portunus spinimanus
Eutrigla gurnardus
Dascyllus trimaculatus
Ampelophaga rubiginosa
Poecilia mexicana
Loligo forbesii
Engraulis mordax
Arenaeus cribrarius
Zenaida macroura
Hemidactylus frenatus
Pleuronectes platessa
Neogonodactylus oerstedii
Oxea flavescens
Deania calcea
Columba livia
Pseudopleuronectes americanus
Alosa kessleri
Margrethia obtusirostra
Asprocottus herzensteini
Hemigraspus sanguineus
Pullosquilla litoralis
Dissostichus mawsoni
Syngnathus leptorhynchus
Hemilepidotus hemilepidotus
Photostomias braueri
Limnocottus eurystomus
Anguilla anguilla
Heliconius hecale
Lutjanus adetii
Pyrophorus divergens
Chauliodus macouni
Anomala corpulenta
Odocoileus virginianus
Asterocampa leilia
Liparis greeni
Cataglyphis bombycinus
Acipenser fulvescens
Lates calcarifer
Scomber japonicus
Limenitis archippus astyanax
Limnocottus griseus
Lestrimelitta limao
Chromis punctipinnis
Parnara guttata
Hemidactylus platyurus
Frankliniella occidentalis
Lycaena rubidus
Myoxocephalus scorpius
Ochlodes venata
Diaphus rafinesquei
Pleuronectes obscurus
Ambystoma tigrinum aquatic
Pleurodeles waltl
Gonodactylus oerstedii
Spermophilus lateralis
Trematomus hansoni
Odontodactylus havanensis
Chlorocebus aethiops
Abudefduf abdominalis
Chrysoperla carnea
Clupea pallasii
Allograpta obliqua
Astyanax fasciatus
Globicephala melas
Rana cracrivora
Kuhlia sandvicensis
Parus caeruleus
Lutjanus kasmira
Anolis conspersus
Ammodytes hexapterus
Sufflamen bursa
Epicopeia hainesii
Diaphus holti
Lonchura maga
Myoxocephalus potyacanthocephalus
Platysaurus broadleyi
Gobius niger
Platichthys flesus
Dicrolene intronigra
Loligo pealii
Trigona spinipes
Lampanyctus crocodilus
Coturnix coturnix
Astacus leptodactylus
Photuris frontalis
Leptocottus armatus
Microcottus sellaris
Cephalopachus bancanus
Rouleina aderensis
Papilio achaon
Cimex lectularius
Ovis aries
Phalaenoptilus nuttallii
Acanthropagrus major
Gekko gecko
Artedius harringtoni
Poecilia formosa
Trachemys scripta
Aedes aegypti
Neogonodactylus curacaoensis
Acanthephyra smithi
Trachyscorpia cristulata
Howella sherborni
Archaeomysis grebnitzkii
Tinca tinca
Stichaeopsis nana
Arizona elegans
Cyphocottus eurystomus
Homo sapiens
Gallus  gallus domesticus
Searsia koefoedi
Synaphobranchus kaupii
Cambarellus ludovicianus
Didelphis aurita
Ephestia cautella
Hippoglossoides herzensteini
Bathophilus brevis
Sergia maximus
Gasterosteus sp.
Myripristis violacea
Lobianchia gemellarii
Papilio xuthus
Sepia officinalis
Melopsittacus undatus
Anas playrhnchos domesticus
Ptilichthys goodei
Thermonectus maromoratus
Ameiurus catus
Rouleina maderensis
Acanthropagrus schlegelii
Notoscopelus resplendens
Chelonia mydas
Zebrasoma velifer
Hemigraspus edwardsi
Bombus fervidus
Bassozetus compressus
Zoramia  Viridiventer
Metriaclima emmiltos
Bombus  impatiens
Sargocentron tiere
Otolemur garnettii
Libellula pulchella
Diplodus annularis
Typhlops platycephalus
Benthalbella  infans
Calliphora vicina
Dacus oleae
