Scylla serrata
Acipenser medirostrus
Aeschna cyanea
Dascyllus albisella
Geomys bursarius
Icelinus borealis
Cercopithecus cephus
Bonapartia pedalioita
Bathophilus brevis
Anilius scytale
Caprimulgus europaeus
Chamaeleo dilepis
Pleuronectes asper
Peprilus simillimus
Engaeus cunicularius
Merluccius productus
Necturus maculosus
Salmo irideus
Cottocomephorus grewingki
Ostorhinchus Cookii
Scardinius erythrophthalmus
Callinectes ornatus
Photinus scintillans
Sepia plangon
Buteo jamaicensis
Hexagrammos stelleri
Brachydanio rerio
Typhlops hypomethes
Bathylagus bericoides
Taaningichthys bathyphilus
Colletes fulgidus
Panulirus argus
Photuris lucicrescens
Triglopsis quadricornis
Acanthurus nigroris
Mysis salemaai
Metriaclima emmiltos
Mysis relicta sp.I
Chauliodus sloanei
Artedius fenestralis
Meningodora vesca
Loligo pealii
Valenciennellus tripunctulatus
Pholis laeta
Tetrapturus audax
Epigonus  telescopus
Myoxocephalus scorpius
Metynnis argenteus
Libelloides macaronius
Didelphis virginiana
Bodianus bilunulatus
Sepioteuthis lessoniana
Dardanus fucosus
Lonchura maga
Menemerus confusus
Metriaclima barlowi
Accipiter nisus
Scopelogadus beanii
Gilbertidia sigalutes
Orectolobus ornatus
Anolis cristatellus
Bentheogennema pasithea
Anthidium manicatum
Citellus lateralis
Scomberomorus sierra
Tyrannochromis macrostoma
Sargocentron spiniferum
Coryphaenoides profundicolus
Scaphirhynchus platorynchus
Xylocopa brasilianorum
Cottinella boulengeri
Pandalus montagui
Borostomias panamensis
Neoniphon aurolineatus
Axoclinius carminalis
Pseudosquilla ciliata
Celastrina argiolus
Pteropus dasymallus
Meleagris  galoparvo
Leptograspus variegatus
Strix aluco
Lutjanus sebae
Agonopsis vulsa
Cyttopsis rosea
Anableps anableps
Scaphirhynchus albus
Metriaclima benetos
Podothecus acipenserinus
Heliconius charithonia
Heteromysis formosa
Bos taurus
Spicara smaris
Hapalochlaena maculosa
Sesarma cinereum
Xiphister  atropurpureus
Megalocottus platycephalus
Metriaclima livingstonii
Vespo crabro
Systellaspis debilis
Argiope amoena
Ruscarius meanyi
