Sardinops melanosticta
Leptuca pugilator
Alloteuthis subulata
Psalidodon fasciatus
Pseudotropheus sp.
Byasa alcinous
Rhabdamia gracilis
Nymphalis io
Tharsalea rubidus
Dione vanillae
Cataglyphis bombycina
Callithrix jacchus
Aquarana catesbeiana
Propithecus coquereli
Cribroheros longimanus
Mirounga angustirostris
Mustela putorius
Ostorhinchus doederleini
Perca flavescens
Calliphora vicina
Ictidomys tridecemlineatus
Maylandia benetos
Polistes dominula
Ostorhinchus cyanosoma
Osmia bicornis
Maylandia barlowi
Canis lupus
Zoramia leptacanthus
Lithobates pipiens
Cyanistes caeruleus
Tharsalea heteronea
Ostorhinchus cookii
Zoramia viridiventer
Doryteuthis pealeii
synthetic construct
Nectamia savayensis
Nematostella vectensis
Tharsalea nivalis
Gadus chalcogrammus
Rutilus rutilus
Camponotus atriceps
Amphibalanus amphitrite
Sphodromantis sp.
