Ctenochaetus strigosus
Aptychotrema rostrata
Sepia officinalis
Scylla serrata
Aglais urticae
Poecilia mexicana
Diplodus annularis
Meganyctiphanes norvegica
Cottocomephorus grewingkii
Argyropelecus aculeatus
Apis mellifera
Ctenomys magellanicus
Carcharhinus amblyrhynchos
Embiotoca lateralis
Myoxocephalus quadricornis
Trachurus symmetricus
Spodoptera exempta
Nematobrachion sexpinosum
Sargocentron tiere
Streptopelia roseogrisea
Typhlonectes natans
Pundamilia red head
Lycaena nivalis
Taurulus bubalis
Haplonycteris fischeri
Anolis pulchellus
Lemur catta
Microgadus proximus
Mysis relicta sp.I
Tarsius syrichta
Rhinatrema bivittatum
Rhabdamia  Gracilis
Sebastes flavidus
Sargocentron diadema
Teratoscincus scincus
Urobatis jamaicensis
Merluccius merluccius
Naso unicornis
Acanthropagrus berda
Ichthyococcus ovatus
Carassius auratus
Tarentola chazaliae
Neomysis integer
Puntigrus tetrazona
Cavia porcellus
Typhlops platycephalus
Bothragonus swani
Callonychium petuniae
Myrmecia gulosa
Mysis mixta
Leptograpsus variegatus
Ochlodes venata
Aeshna tuberculifera
Gonodactylaceus falcatus
Gryllus bimaculatus
Furcifer pardalis
Centropristis striata
Glaucostegus typus
Platycercus elegans
Upeneus tragula
Lonchura malacca
Spermophilus tridecemlineatus
Cottocomephorus grewingki
Heliconius sara
Pteropus samoensis
Saguinus oedipus
Lasioglossum malachurum
Minois dryas
Callipepla californica
Spheniscus humboldti
Panopeus herbtii
Rouleina attrita
Lates calcarifer
Lutjanus argentimaculatus
Ptychozoon lionotum
Anolis krugi
Corvus  frugilegus
Amadina fasciata
Hemigraspus sanguineus
Squilla empusa
Artedius harringtoni
Melipona marginata
Microstoma microstoma
Mysis relicta sp.II
Macroglossum stellatarum
Perca fluviatilis
Nomada alboguttata
Leuroglosus stilbius
Aetobatus narinari
Dromiceius novae-hollandae
Melanotaenia maccullochi
Ovipales stephensoni
Alosa kessleri
Gonostoma elongatum
Plesiopenaeus armatus
Fundulus heteroclitus
Oncorhynchus kisutch
Nasua nasua
Sephanoides sephanoides
Melopsittacus undulatus
Rana cracrivora
Ruscarius meanyi
Ballerus ballerus
Amandina fasciata
Talitrus saltator
Melopsittacus undalatus
Ostorhinchus Doederleini
Jasus edwardsii
Rhinobatos lentiginosus
Anolis bahorucoensis
Coregonus clupeoides
Zebrasoma veliferum
Gobiesox maecmdricus
Odontodactylus scyllarus
Mirounga angustirostri
Ichthyocossus ovatus
Pleurogrammus  azonus
Amyelois transitella
Siproeta stelenes
Geotrypetes seraphini
Sargocentron microstoma
Myoxocephalus jack
Tinca tinca
Acipenser fulvescens
Saguinus fuscicollis
Hemitripterus villosus
Engraulis japonicus
Gecarcinus lateralis
Chlorophthalmus sp.
Phytichthys chirus
Chromis hanui
Metriaclima zebra
Neoniphon aurolineatus
Rana pipiens
Lutjanus bohar
Eustomias obscurus
Gadus macrocephalus
Clinocottus globiceps
Didelphis aurita
Sufflamen bursa
Loxodonta africana
Gasterosteus sp.
Pollachius pollachius
Mylochromis lateristriga
Meningodora miccyla
Batrachocottus baicalensis
Xenopeltis unicolor
Limulus polyphemus
Cambarellus ludovicianus
Eulemur fulvus
Aequidens pulcher
Loligo pealii
Coturnix coturnix
Bombus fervidus
Mesocricetus auratus
Pseudopleuronectes americanus
Rhizoprionodon taylori
Danaus plexippus
Ceratoscopelus warmingii
Limanda limanda
Lumpenus sagitta
Salmo salar
Tribolodon hakonensis
Chaceon affinis
Anadevidia peponis
Bero elegance
Plagiotremus rhinorhynchos
Triglops pingelii
Saguinus midas
Neope goschkevitschii
Coryphaenoides guntheri
Parus caeruleus
Hemicordulia tau
Gallus  gallus domesticus
Parapasiphaea sulcatifrons
Clupea harengus
Microcottus sellaris
Meriones unguiculatus
Bombus lapidarius
Papilio achaon
Loligo subulata
Gnathophausia ingens
Paralabrax clathratus
Protomelas taeniolatus
Felis catus
Platichthys flesus
Pomatoschistus minutus
Otolemur garnettii
Sternoptyx pseudobscura
Carcharhinus obscurus
Histiobranchus bathybius
Buteo buteo
Coryphaenoides leptolepis
Procambarus milleri
Aphanopus  carbo
Rynchophorus ferrugineus
Euphausia pacifica
Mustela putorius furo
Ameiurus melas
Pagurus longicarpus
Cercopithecus diana
Heliconius charithonia
Galleria mellonella
Gonodactylus oerstedii
Bombyx mori
Phoca vitulina
Bombus hortorum
Pervagor spilosoma
Cercopithecus cephus
Ictalurus catus
Gonodactylellus affinis
Sebastes auriculatus
Diaphus rafinesquei
Diaphus dumerilli
