Nematobrachion sexpinosum
Gymnothorax favagineus
Synaphobranchus kaupii
Kali macrodon
Lutjanus fulviflamma
Alburnus alburnus
Photuris potomaca
Ceratoscopelus warmingii
Metriaclima emmiltos
Danio aequipinnatus
Coenobita clypeatus
Trachyscorpia cristulata
Strix aluco
Caelorhinchus labiatus
Oreochromis nilocticus
Lasioglossum malachurum
Salmo irideus
Saimiri sciureus
Sufflamen bursa
Sardinops melanostictus
Tarsius syrichta
Rhinobatos lentiginosus
Epigonus  telescopus
Haplonycteris fischeri
Cyttopsis rosea
Sebastes auriculatus
Bentheogennema pasithea
Idiacanthus fasciola
Geomys bursarius
Blepsias cirrhosus
Pervagor spilosoma
Asprocottus herzensteini
Ichthyocossus ovatus
Lutjanus johnii
Bero elegance
Penaeus duororum
Oplophorus sp.
Pandalus montagui
Hemimysis anomala
Nansenia longicauda
Ptychozoon lionotum
Icelinus borealis
Batrachocottus nikolskii
Lutjanus adetii
Syngnathus leptorhynchus
Microgadus proximus
Acanthropagrus major
Hipposideros speoris
Coenobita rugosa
Cancer irroratus
Gobius paganellus
Euprymna tasmanica
Anolis bahorucoensis
Gennadas sp.
Pasiphaea multidentata
Cottocomephorus grewingki
Bathysaurus mollis
Deania calcea
Gonodactylopsis spongicola
Libinia emarginata
Synodus variegatus
Sergestes tenuiremis
Rhadinesthes decimus
Zoramia  Leptacanthus
Sargocentron microstoma
Hoplostethus mediterraneus mediterraneus
Argynnis ruslana
Zebrasoma veliferum
Ophiodon elongatus
Gobiesox maeandricus
Rangifer tarandus
Octopus tetricus
Parapasiphaea sulcatifrons
Diaphus lucidus
Symphodus melops
Synaphobranchus kaupi
Merluccius merluccius
Melopsittacus undatus
Pholis laeta
Benthalbella  infans
Anas playrhnchos domesticus
Parnara guttata
Marosatherina ladigesi
Rhinobatus typus
Dermogenys pusilla
Siproeta stelenes
Carabus nemoralis
Gobiusculus flavescens
Notostomus elegans
Zenaida macroura
Sphyraena barracuda
Danio malabaricus
Porichthys notatus
Hypsurus caryi
Anthidium manicatum
Myoxocephalus jaok
Metriaclima zebra
