Gymnothorax favagineus
Kali macrodon
Alburnus alburnus
Photuris potomaca
Strix aluco
Oreochromis nilocticus
Salmo irideus
Vespula vulgaris
Sardinops melanostictus
Rhinobatos lentiginosus
Epigonus  telescopus
Odocoileus virginianus
Haplonycteris fischeri
Cyttopsis rosea
Pundamilia azurea
Geomys bursarius
Pervagor spilosoma
Lutjanus johnii
Ichthyocossus ovatus
Asprocottus herzensteini
Bero elegance
Penaeus duororum
Oeneis chryxus
Oplophorus sp.
Nansenia longicauda
Ptychozoon lionotum
Batrachocottus nikolskii
Oryctolagus cuniculus
Lutjanus adetii
Syngnathus leptorhynchus
Pseudopleuronectes americanus
Acanthropagrus major
Cancer irroratus
Gobius paganellus
Euprymna tasmanica
Pasiphaea multidentata
Bathysaurus mollis
Deania calcea
Gonodactylopsis spongicola
Sargocentron microstoma
Argynnis ruslana
Setonix brachyurus
Ophiodon elongatus
Gobiesox maeandricus
Octopus tetricus
Parapasiphaea sulcatifrons
Symphodus melops
Synaphobranchus kaupi
Acipenser baerii
Melopsittacus undatus
Pholis laeta
Anas playrhnchos domesticus
Marosatherina ladigesi
Rhinobatus typus
Dermogenys pusilla
Octodon degus
Siproeta stelenes
Zenaida macroura
Sphyraena barracuda
Porichthys notatus
Hypsurus caryi
Myoxocephalus jaok
Chelidonichthys lucerna
Papilo bianor
Argyropelecus gigas
Bombus impatiens
Jordanella floridae
Acantholumpenus mackayi
Polistes dominulus
Photostomias braueri
Anilius scytale
Lestrimelitta limao
Gasterosteus aculeatus
Anolis gundlachi
Odontodactylus havanensis
Kuhlia sandvicensis
Lycaena rubidus
Pleurodeles waltl
Antimora rostrata
Chlorophthalmus sp.
Gryllus campestris
Rhinatrema bivittatum
Blicca bjoerkna
Anas  platyrhynchos
Musca domestica
Phytichthys chirus
Copadichromis borleyi
Pundamilia nyererei
Andrena florea
Maylandia zebra
Stegastes fasciolatus
Haplochromis piceatus
Pergavor aspricaudus
Clupea pallasii
Cyrtopodion caspium
Gadus macrocephalus
Cambarellus schufeldtii
Propithecus verreauxi coquereli
Monodelphis domestica
Balanus eburneus
Mustela putorius furo
Funchalia villosa
Conocara salmonea
Gonodactylus oerstedii
Rutilis rutilis
Alligator mississippiensis
Ictalurus catus
Typhlops hypomethes
Gonepteryx aspasia
Stichaeus grigorjewi
Citellus lateralis
Batrachocottus multiradiatus
Carpodacus mexicanus
Lepidorhombus boscii
Stizostedion lucioperca
Aphanopus  carbo
Heliconius numata
Typhlonectes natans
Abramis brama
Haplochromis burtoni
Melipona quadrifasciata
Coryphaenoides profundicolus
Gekko gekko
Cottus kessleri
Rhinocheilus lecontei
Microcottus sellaris
Pomatoschistus microps
Hippocampus angustus
Hypomesus pretiosus
Elops  saurus
Procottus jettelesii
Rana temporaria
Lonchura malabarica
Tyto alba
Echiostoma barbatum
Acyrthosiphon pisum
Alepocephalus bairdii
Cercopithecus diana
Chauliodus danae
Pseudosquilla ciliata
Heliconius sara
Micrometrus minimus
Mesocricetus auratus
Acanthephyra smithi
Dugesia japonica
Hippocampus subelongatus
Photuris lucicrescens
Rhabdamia  Gracilis
Bythograea thermydron
Sargocentron xantherythrum
Phidippus regius
Stichaeus grigorjevi
Ctenochaetus strigosus
Chaceon affinis
Glaucomys sabrinus
Papilio protenor
Callinectes ornatus
Argiope bruennichi
Octopus australis
Anolis grahami
Lipophyrs pholis
Lutjanus quinquelineatus
Eigenmannia virescens
Jasus edwardsii
