Eurypanopeus depressus
Plexippus validus
Megalocottus  platycephalus
Pseudosquilla ciliata
Palaemonetes paladosus
Comephorus dybowskii
Spermophilus tridecemline
Papilio maackii
Lepidion eques
Himantura fai
Parophrys vetulus
Melecta punctata
Papilo bianor
Merluccius merluccius
Mesocricetus brandti
Cataglyphis bicolor
Artemia salina
Sygnathus leptorhynchus
Symphodus melops
Pavo  cristatus
Echinomacrurus mollis
Otolemus cassicaudatus
Cottocomephorus inermis
Mora moro
Coryphaenoides profundicolus
Radiicephalus elongatus
Lampanyctus regalis
Hemigrapsus sanguinensis
Liparis  greeni
Chromis vanderbilti
Zalembius rosaceus
Hippocampus barbouri
Gallus  gallus domesticus
Marumba sperchius
Tribolodon hakonensis
Scorpaenichthys marmoratus
Bero elegans
Ctenomys talarum
Phronima sedenteria
Enophrys bison
Mysis  sp.
Myoxocephalus stelleri
Danio malabaricus
Asprocottus intermediius
Nematobrachion boopis
Dromiceius novae-hollandiae
Phodopus sungorus
Pleuronectes obscurus
Ameiurus catus
Cataglyphis bombycinus
Ailuroedus crassirostris
Cebus spp.
Loris tardigradus
Osmia rufa
Hippoglossoides elassodon
Rana cracrivora
Anableps anableps
Lonchura maga
Acanthephyra smithi
Liparis greeni
Xenodermichthys  copei
Accipiter nisus
Limnocottus bergianus
Carabus auratus
Mysis relicta
Belone belone
Typhlonectes natans
Samia cynthia ricini
Lycaena rubidus
Lutjanus russellii
Sternoptyx pseudobscura
Cataetyx laticeps
Centroswcymnus coleolepis
Gonostoma bathyphilium
Coryphaenoides armatus
Gaidropsarus mediterraneus
Rana cancrivora
Hypomesus pretiosus
Caprimulgus europaeus
Systellaspis braueri
Hippocampus subelongatus
Ichthyophis cf. kohtaoensis
Astyanax fasciatus
Scomberomorus sierra
Penaeus duororum
Hemidactylus platyurus
Atherinops affinis
Xiphister mucosus
Limenitis lorquini
Etroplus suratensis
Bathylagus euryops
Acipenser medirostrus
Sepia plangon
Ctenophorus ornatus
Pervagor spilosoma
Deilephila elpenor
Janicella spinacauda
Haplochromis pyrrhocephalus
Malacosteus niger
Rhabdamia  Gracilis
Coryphaenoides carapinus
Myoxocephalus scorpius
Spinachia spinachia
Chauliodus danae
Coryphaenoides leptolepis
Ligia exotica
Nautichthys oculofasciatus
Melamphaes suborbitalis
Lycaena nivalis
Cymatogaster aggregata
Alepocephalus australis
Anas platyrhynchus
Bentheogennema pasithea
Lepidion  eques
Idiosepius notoides
Coryphopterus nicholsii
Myoxocephalus quadricornis
Eristalis tenax
Hemigrapsus edwardsii
Nasua nasua
Xenos peckii
Minois dryas
Eigenmannia virescens
Myoxocephalus potyacanthocephalus
Batrachocottus nikolskii
Speyeria leto
Notoscopelus resplendens
Acanthopagrus butcheri
Colletes fulgidus
Notostomus gibbosus
Spermophilus beecheyi
Salmo irideus
Ahliesaurus berryi
Bombus lapidarius
Ichneumon stramentarius
Lampanyctus crocodilus
Lepidorhombus boscii
Photinus versicolor
Gilbertidia sigalutes
Lutjanus kasmira
Xylocopa brasilianorum
Parnara guttata
Stomias atriventer
Myoxocephalus jaok
Bellocia  koefoedi
Arothron meleagris
Ochlodes venata
Acanthephyra curtirostris
Papilio achaon
Glaucomys sabrinus
Sagiunus midas
Odontodactylus brevirostris
Clibanarius vittatus
Psychrolutes paradoxus
Amandina fasciata
Alouatta sp.
Hydrolagus mirabilis
Porichthys notatus
Hipposideros speoris
Liparis florae
Cercopithecus diana
Eucyclogobius newberryi
Apodichthys flavidus
Loligo pealii
Chelostoma florisomne
Squalus suckleyi
Microcottus sellaris
Ostorhinchus Cyanosoma
Limnocottus eurystomus
Ammodytes hexapterus
Libellula pulchella
Platytroctes apus
Buteo jamaicensis
Artedius meanyi
Hexagrammos stelleri
Lonchura malacca
Nemichthys scolopaceus
Notacanthus bonapartei
Pleuroncodes planipes
Cyrtopodion caspium
Pundamilia au
Anadevidia peponis
Gymnothorax reticularis
Sesarma cinereum
Pullosquilla thomassini
Leiothrix lutea
Spalacopus cyanus
Gnathophausia ingens
Phycis blennoides
Oxea flavescens
Pandalus montagui
Rhinobatos lentiginosus
Notonecta glauca
Anthophora acervorum
Trachyscorpia cristulata
Sebastes flavidus
Chelidonichthys lucerna
Ictalurus catus
Petrolisthes elongates
Ruscarius meanyi
Sargocentron tiere
Rhinobatus typus
Schwarziana sp
Serrivomer lanceolatoides
Chlorocebus aethiops
Acanthropagrus major
Lampanychtus ater
Coryphaenoides guntheri
Lycodes pacificus
Antheraea polyphemus
Histiobranchus bathybius
Trachurus mediterraneus
Polygonia c-album
Scomber japonicus
Ctenochaetus strigosus
Blepsias cirrhosus
Myotis velifer
Homarus gammarus
Elops  saurus
Urobatis jamaicensis
Marosatherina ladigesi
Triglops pingelii
Pilumnus sayi
Ronquilus jordani
Sericulus crysocephalus
Procottus jettelesi
Coenobita clypeatus
Hexagrammos decagrammus
Polyipnus polli
Argiope amoena
Trematomus hansoni
Gekko gekko
Citharichthys sordidus
Diaphus rafinesqueii
Haplochromis nyererei
Stigmatopora argus
Acanthurus triostegus
Bombus fervidus
Photostomias braueri
Tenthredo scrophulariae
Sebastolobus alascanus
Acipenser fulvescens
Siproeta stelenes
Anolis conspersus
Opsanus tau
Anoplarchus purpurescens
Pseudotropheus acei
Strophidon sathete
Crangon allmani
Panopeus herbtii
Neope goschkevitschii
Nansenia longicauda
Mysis relicta sp.I
Gennadas valens
Sergestes similis
Lutjanus johnii
Anolis pulchellus
Aptychotrema rostrata
Arenaeus cribrarius
Chimaera monstrosa
Pavo cristatus
Talitrus saltator
Pholidapus dybowsky
Kuhlia sandvicensis
Junonia coenia
Plesiopenaeus armatus
Phoca groenlandicus
Antimora  rostrata
Dasycottus setiger
Necturus maculosus
Procambarus milleri
Acanthropagrus schlegelii
Carpodacus mexicanus
Thomomys bottae
Zebrasoma veliferum
Holmesimysis costata
Merluccius productus
Libinia emarginata
Rhinella [=Bufo] marinus
Melanotaenia maccullochi
Haptosquilla trispinosa
Argentina silus
Lyopsetta exilis
Asterropteryx semipunctata
Polistes dominulus
Cyttopsis roseus
Tarsius bancanus
Anchoa mitchilli
Malacocephalus laevis
Stylocheiron maximum
Jordania zonope
Furcifer pardalis
Lysiosqullia sulcata
Pomacentrus melanochir
Lepomis macrochirus
Cambarellus ludovicianus
Rutilis rutilis
Damalichthys vacca
Halosauropsis macrochir
Bothragonus  swani
Oplophorus gracilirostris
Platichthys stellatus
Asprocottus herzensteini
Clinocottus globiceps
Asteropteryx semipunctatus
Perca fluviatilis
Gecarcinus lateralis
Lutjanus quinquelineatus
Hemidactylus garnotii
Sebastes caurinus
Lysiosquillina maculate
Trachurus symmetricus
Ballerus ballerus
Blicca bjoerkna
Diaphus lucidus
